patent_id,related_doc_number,published_country,related_doc_type,related_doc_kind,related_doc_published_date,related_doc_sequence
6678456,60197192,US,us-provisional-application,,2000-04-17,0
11191131,16371013,US,division,child-doc,,2
10065881,20160311719,US,related-publication,,2016-10-27,0
10478835,62425219,US,us-provisional-application,,2016-11-22,0
11012571,10044868,US,continuation,parent-grant-document,2018-08-07,7
9757627,8727905,US,division,parent-grant-document,,4
7817036,20080266090,US,related-publication,,2008-10-30,0
9187861,20140069073,US,related-publication,,2014-03-13,0
6854806,20040174062,US,related-publication,,2004-09-09,5
7243543,11018944,US,continuation-in-part,child-doc,,2
9825172,8835261,US,division,parent-grant-document,,1
7100385,20060026978,US,related-publication,,2006-02-09,0
8875409,13493639,US,continuation-in-part,child-doc,,2
11397730,10417224,US,continuation,parent-grant-document,,1
8932830,7862820,US,division,parent-grant-document,2011-01-04,4
D954701,D928778,US,continuation-in-part,parent-grant-document,,1
8101364,6428951,US,continuation,parent-grant-document,,10
D857689,29513996,US,continuation,parent-doc,2015-01-07,0
6830717,09007320,US,division,parent-doc,1998-01-15,4
8752686,20120247913,US,related-publication,,2012-10-04,0
9235784,13595954,US,continuation,parent-doc,2012-08-27,0
11096024,15876560,US,continuation,child-doc,,7
9507587,20100333060,US,related-publication,,2010-12-30,0
9319367,62050004,US,us-provisional-application,,2004-09-12,0
9530134,20160162898,US,related-publication,,2016-06-09,2
10694267,16564523,US,continuation,child-doc,,1
6787183,20030060356,US,related-publication,,2003-03-27,0
8375212,7865738,US,division,parent-grant-document,,1
9678231,9091780,US,continuation-in-part,parent-grant-document,,1
6873094,20030184202,US,related-publication,,2003-10-02,0
9282621,8680870,US,continuation,parent-grant-document,,1
10949161,10489102,US,continuation,parent-grant-document,,1
10727132,20170316982,US,related-publication,,2017-11-02,3
6991225,20020190456,US,related-publication,,2002-12-19,3
9873493,62492852,US,us-provisional-application,,2017-05-01,1
8847317,13717917,US,division,child-doc,,2
8766384,12044596,US,continuation,parent-doc,2008-03-07,3
10816922,20190369535,US,related-publication,,2019-12-05,22
6525827,09760615,,continuation,child-doc,,0
9273011,61552651,US,us-provisional-application,,2011-10-28,0
11443533,20200210736,US,related-publication,,2020-07-02,0
10867695,14822862,US,continuation-in-part,child-doc,,1
8768731,60753959,US,us-provisional-application,,2005-12-23,51
9782339,13997430,US,continuation,parent-doc,,3
8593721,60076959,US,us-provisional-application,,1998-03-05,40
10246688,20160319250,US,related-publication,,2016-11-03,0
10843444,16448507,US,continuation,child-doc,,1
7038745,20030164914,US,related-publication,,2003-09-04,16
7404789,20060052227,US,related-publication,,2006-03-09,4
10202394,62301537,US,us-provisional-application,,2016-02-29,5
9420567,14507569,US,continuation,parent-doc,2014-10-06,0
9690021,61890059,US,us-provisional-application,,2013-10-11,2
10634733,62424271,US,us-provisional-application,,2016-11-18,0
8573215,60643130,US,us-provisional-application,,2005-01-12,8
7532153,11984571,US,continuation,child-doc,,2
8782500,20130139037,US,related-publication,,2013-05-30,9
8013170,60505119,US,us-provisional-application,,2003-09-23,5
9877430,20160183469,US,related-publication,,2016-06-30,0
8905519,8662636,US,continuation,parent-grant-document,,1
10952761,16540832,US,division,child-doc,,2
8665068,PCT/US03/07770,WO,continuation,parent-pct-document,2003-03-13,5
9268424,20140022192,US,related-publication,,2014-01-23,1
8211992,PCT/JP2009/052933,US,continuation,parent-doc,2009-02-19,0
7428159,20060220938,US,related-publication,,2006-10-05,0
9876017,20160163714,US,related-publication,,2016-06-09,0
7385869,20070206432,US,related-publication,,2007-09-06,24
10595679,20190231132,US,related-publication,,2019-08-01,3
10497074,13746703,US,division,parent-doc,2013-01-22,15
11305088,16726304,US,continuation,child-doc,,3
8349215,20100283010,US,related-publication,,2010-11-11,0
10822335,13876211,US,continuation,parent-doc,,11
8003253,20060286458,US,related-publication,,2006-12-21,0
7914955,7572556,US,continuation,parent-grant-document,,1
11429290,20220155975,US,related-publication,,2022-05-19,0
10194433,PCT/US2011/066166,WO,continuation,parent-pct-document,2011-12-20,5
8532488,13539383,US,continuation,parent-doc,2012-06-30,0
10238083,20150351360,US,related-publication,,2015-12-10,1
7545036,11528335,US,division,child-doc,,2
11216626,16215448,US,continuation,parent-doc,2018-12-10,0
10788764,15718396,US,continuation,child-doc,,5
10090777,13103070,US,continuation,parent-doc,2011-05-08,3
8996053,14229928,US,division,child-doc,,2
10121064,62148663,US,us-provisional-application,,2015-04-16,0
9171777,20140167044,US,related-publication,,2014-06-19,2
9894281,20150350555,US,related-publication,,2015-12-03,0
8721700,61375772,US,us-provisional-application,,2010-08-20,0
11140511,20200296538,US,related-publication,,2020-09-17,15
D917204,D906010,US,continuation-in-part,parent-grant-document,,1
8887213,12166268,US,division,parent-doc,2008-07-01,0
10814297,62214654,US,us-provisional-application,,2015-09-04,1
11073891,14994733,US,continuation,child-doc,,5
9550250,61729655,US,us-provisional-application,,2012-11-26,0
7294056,60501557,US,us-provisional-application,,2003-09-09,1
9199055,13499943,US,continuation,parent-doc,,0
7745054,20040259002,US,related-publication,,2004-12-23,0
9525087,20150311366,US,related-publication,,2015-10-29,0
8007104,20100283970,US,related-publication,,2010-11-11,0
10160413,9975505,US,division,parent-grant-document,,1
8846851,13771552,US,division,child-doc,,2
9270559,12380774,US,continuation-in-part,child-doc,,699
10375390,20170041602,US,related-publication,,2017-02-09,10
6947810,6874707,US,division,parent-grant-document,,1
7416486,08804060,US,division,parent-doc,1997-02-21,11
6810486,20020144171,US,related-publication,,2002-10-03,0
10712519,62525970,US,us-provisional-application,,2017-06-28,0
10144722,13985085,US,division,parent-doc,,0
11172939,14567956,US,continuation-in-part,parent-doc,2014-12-11,14
10508100,15840429,US,continuation,child-doc,,4
8336388,12284886,US,continuation,parent-doc,2008-09-25,0
11034872,11486791,US,continuation-in-part,child-doc,,21
9465911,20120119080,US,related-publication,,2012-05-17,1
8504067,8224311,US,continuation,parent-grant-document,,1
7862506,5601435,US,continuation-in-part,parent-grant-document,,17
10827837,PCT/US2009/048775,US,continuation-in-part,parent-doc,2009-06-26,20
8332240,61113313,US,us-provisional-application,,2008-11-11,0
8931212,13598249,US,continuation,child-doc,,4
11291465,62578855,US,us-provisional-application,,2017-10-30,8
8664582,20120018625,US,related-publication,,2012-01-26,0
7338487,60002722,US,us-provisional-application,,1995-08-24,9
8378697,7936176,US,continuation,parent-grant-document,,1
10722048,62216307,US,us-provisional-application,,2015-09-09,0
6936254,09254311,US,continuation-in-part,parent-doc,,5
10607051,20190147209,US,related-publication,,2019-05-16,0
9350706,61799394,US,us-provisional-application,,2013-03-15,0
10915564,15195981,US,continuation,parent-doc,2016-06-28,0
8607835,8372231,US,division,parent-grant-document,,1
8051247,60732438,US,us-provisional-application,,2005-11-01,44
10123752,15808918,US,continuation,child-doc,,2
6572018,6085978,US,continuation-in-part,parent-grant-document,,21
7666355,20060210435,US,related-publication,,2006-09-21,1
10852766,10172704,US,division,parent-grant-document,,4
9309294,20150118262,US,related-publication,,2015-04-30,12
9397731,11538535,US,continuation,parent-doc,2006-10-04,3
8572899,61359931,US,us-provisional-application,,2010-06-30,0
6640038,60208256,US,us-provisional-application,,2000-05-31,0
10322733,20170217454,US,related-publication,,2017-08-03,2
9670853,20160186677,US,related-publication,,2016-06-30,2
7630447,20070017430,US,related-publication,,2007-01-25,0
6500032,09021861,US,division,parent-doc,1998-02-11,1
9660126,61420197,US,us-provisional-application,,2010-12-06,0
8636173,20080047972,US,related-publication,,2008-02-28,11
10063696,15238826,US,continuation,parent-doc,2016-08-17,0
10048860,20070236460,US,related-publication,,2007-10-11,0
10004211,8878001,US,continuation,parent-grant-document,2014-11-04,10
8591537,60959850,US,us-provisional-application,,2007-07-17,0
6683584,10195918,,continuation,child-doc,,5
D797934,29561726,US,continuation,child-doc,,2
7706856,7209778,US,continuation-in-part,parent-grant-document,,1
7425309,09773826,US,continuation-in-part,parent-doc,2001-01-31,0
9629208,20150305104,US,related-publication,,2015-10-22,1
10737141,15947982,US,continuation,child-doc,,3
11394474,20200313780,US,related-publication,,2020-10-01,0
9030394,20130278645,US,related-publication,,2013-10-24,0
8943098,11646206,US,continuation,parent-doc,2006-12-26,6
7519405,10076563,US,continuation-in-part,parent-doc,2002-02-15,0
10678642,16106548,US,continuation,child-doc,,2
7970844,7584256,US,continuation,parent-grant-document,,1
9124431,20100293608,US,related-publication,,2010-11-18,0
7505238,60641777,US,us-provisional-application,,2005-01-07,0
10280533,16009720,US,continuation,child-doc,,2
8182370,61173309,US,us-provisional-application,,2009-04-28,0
7618620,60478713,US,us-provisional-application,,2003-06-13,6
10045773,15242977,US,division,child-doc,,2
6427682,09149426,US,continuation-in-part,parent-doc,1998-09-08,5
8477886,61053371,US,us-provisional-application,,2008-05-15,0
7821120,7344959,US,division,parent-grant-document,,1
11154248,9198592,US,continuation,parent-grant-document,2015-12-01,10
9355897,14607921,US,division,child-doc,,2
9572295,14574729,US,division,parent-doc,2014-12-18,0
11257202,20210049751,US,related-publication,,2021-02-18,3
11147245,13117582,US,continuation-in-part,child-doc,,10
9570093,20150073783,US,related-publication,,2015-03-12,1
9523615,9182295,US,division,parent-grant-document,,1
7336630,20030016643,US,related-publication,,2003-01-23,3
11190218,10644727,US,continuation,parent-grant-document,,1
10126664,12960947,US,continuation,parent-doc,2010-12-06,6
11355999,PCT/EP2018/050854,US,continuation,parent-doc,2018-01-15,0
10989130,20200340417,US,related-publication,,2020-10-29,0
11239986,PCT/EP2017/076678,US,continuation,parent-doc,2017-10-19,0
10076061,PCT/CN2013/085760,US,continuation-in-part,parent-doc,2013-10-23,3
7608441,10461476,US,continuation-in-part,parent-doc,2003-06-16,16
8329728,12363168,US,division,parent-doc,2009-01-30,3
9262384,60135525,US,us-provisional-application,,1999-05-21,6
11265184,9800426,US,continuation,parent-grant-document,2017-10-24,4
9618499,20160370348,US,related-publication,,2016-12-22,0
10321403,15881600,US,continuation,child-doc,,2
7168783,20040119778,US,related-publication,,2004-06-24,0
11123242,20200163815,US,related-publication,,2020-05-28,0
