patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
7002883,9,G,G11,G11B,G11B2020/1267,additional
11246894,14,A,A23,A23Y,A23Y2220/79,additional
10801616,4,F,F16,F16H,F16H61/4035,inventional
11114533,20,H,H01,H01L,H01L29/665,additional
11450339,4,G,G10,G10L,G10L25/21,inventional
10277242,4,G,G06,G06F,G06F3/04886,inventional
5516940,13,C,C07,C07F,C07F9/4496,inventional
4540391,16,B,B29,B29C,B29C66/83411,inventional
4098049,2,B,B65,B65B,B65B57/06,inventional
8235309,2,B,B64,B64C,B64C2230/18,additional
8053894,1,H,H01,H01L,H01L21/288,inventional
9509990,5,H,H04,H04N,H04N19/23,inventional
7000713,1,E,E21,E21B,E21B10/30,inventional
9725683,5,C,C08,C08F,C08F290/065,inventional
10857702,5,B,B29,B29C,B29C51/082,inventional
5976193,9,D,D06,D06M,D06M11/56,inventional
10724153,5,D,D01,D01D,D01D5/38,inventional
9345596,3,A,A61,A61L,A61L31/088,inventional
4244287,6,B,B30,B30B,B30B9/26,inventional
10987119,2,A,A61,A61B,A61B2017/00526,additional
8460630,28,C,C01,C01B,C01B2203/1247,additional
9024263,3,A,A61,A61B,A61B6/508,inventional
9512700,2,E,E21,E21B,E21B43/01,inventional
9734878,7,G,G11,G11C,G11C11/4087,inventional
6594484,0,H,H04,H04M,H04M3/493,inventional
8043392,2,C,C04,C04B,C04B35/013,inventional
9776471,0,B,B60,B60H,B60H1/00864,inventional
4262478,4,A,A01,A01F,A01F2015/0795,additional
8487115,3,C,C07,C07D,C07D249/12,inventional
7339308,3,F,F02,F02M,F02M2200/26,additional
11289436,44,H,H01,H01L,H01L2224/05655,additional
7243862,8,F,F02,F02M,F02M61/1826,inventional
10573168,2,G,G06,G06F,G06F17/18,inventional
7049871,0,H,H03,H03K,H03K3/356121,inventional
8474252,3,F,F01,F01N,F01N2470/20,additional
7704877,2,H,H01,H01L,H01L21/31138,inventional
11299541,7,C,C07,C07K,C07K2317/24,additional
5892900,4,G,G06,G06F,G06F21/57,inventional
9620605,24,H,H01,H01L,H01L21/76895,inventional
10030820,4,F,F21,F21Y,F21Y2115/10,additional
5094399,4,B,B05,B05C,B05C11/10,inventional
7140941,1,A,A61,A61L,A61L2/10,inventional
10258209,0,A,A47,A47L,A47L5/24,inventional
9037127,70,H,H04,H04L,H04L41/0876,additional
7961840,2,A,A61,A61B,A61B6/4275,inventional
10357441,7,A,A61,A61Q,A61Q19/10,inventional
10652755,5,H,H04,H04W,H04W24/08,inventional
10672978,12,H,H01,H01L,H01L45/1675,inventional
6878563,3,H,H01,H01L,H01L33/46,inventional
8474126,27,H,H01,H01L,H01L2924/30107,additional
5261337,0,F,F23,F23N,F23N1/022,inventional
7735705,2,B,B23,B23K,B23K20/1205,inventional
10032932,2,H,H01,H01L,H01L29/4908,inventional
10549522,7,B,B41,B41F,B41F17/006,inventional
11421525,2,E,E21,E21B,E21B44/00,inventional
5645877,1,A,A23,A23B,A23B4/22,inventional
10948805,0,G,G03,G03B,G03B17/12,inventional
11148328,2,B,B29,B29C,B29C43/02,inventional
6565763,42,Y,Y02,Y02E,Y02E60/10,additional
11065289,0,A,A61,A61K,A61K36/22,inventional
8244084,0,G,G02,G02B,G02B6/381,inventional
10351916,7,A,A61,A61K,A61K31/475,inventional
8549737,4,H,H05,H05K,H05K2201/10424,additional
8466587,4,H,H02,H02K,H02K2213/03,additional
11339991,3,F,F24,F24F,F24F11/62,inventional
8729127,27,A,A61,A61K,A61K31/203,additional
9462690,19,H,H01,H01L,H01L2224/13023,additional
7111450,1,F,F01,F01N,F01N3/2006,inventional
7640451,14,G,G06,G06F,G06F11/2092,inventional
6942017,4,F,F28,F28F,F28F9/22,inventional
8623178,4,Y,Y10,Y10T,Y10T83/7809,additional
8919634,0,B,B23,B23K,B23K3/0623,inventional
11077862,6,B,B60,B60W,B60W30/18163,additional
