patent_id,sequence,disamb_inventor_id_20170808,disamb_inventor_id_20171003,disamb_inventor_id_20171226,disamb_inventor_id_20180528,disamb_inventor_id_20181127,disamb_inventor_id_20190312,disamb_inventor_id_20190820,disamb_inventor_id_20191008,disamb_inventor_id_20191231,disamb_inventor_id_20200331,disamb_inventor_id_20200630,disamb_inventor_id_20200929,disamb_inventor_id_20201229,disamb_inventor_id_20211230,disamb_inventor_id_20220630,disamb_inventor_id_20220929
10449128,0,,,,,,,,,8709588-1,8709588-1,8709588-1,8709588-1,fl:m_ln:cadet-1,fl:ma_ln:cadet-1,fl:ma_ln:cadet-1,fl:ma_ln:cadet-1
8050086,2,7924587-4,7924587-4,7924587-4,7924587-4,10073634-2,7924587-4,7924587-4,7924587-4,7924587-4,7924587-4,7924587-4,7924587-4,fl:e_ln:gurgi-1,fl:ey_ln:gurgi-2,fl:ey_ln:gurgi-1,fl:ey_ln:gurgi-1
10104634,3,,,,,10009190-2,5519691-3,5519691-3,5519691-3,5519691-3,5519691-3,5519691-3,5519691-3,fl:n_ln:shankaranarayanan-1,fl:ne_ln:shankaranarayanan-1,fl:ne_ln:shankaranarayanan-1,fl:ne_ln:shankaranarayanan-1
10499766,11,,,,,,,,,7251762-1,10390656-12,7251762-1,7251762-1,fl:c_ln:martin-113,fl:ch_ln:martin-68,fl:ch_ln:martin-40,fl:ch_ln:martin-40
9824567,0,,,8674850-1,8144937-1,8144937-1,8144937-1,8144937-1,8144937-1,8144937-1,8144937-1,8144937-1,8144937-1,fl:n_ln:zimmer-3,fl:ni_ln:zimmer-4,fl:ni_ln:zimmer-2,fl:ni_ln:zimmer-2
5632660,2,4401090-1,4401090-1,4401090-1,4401090-1,4246595-2,4401090-1,4401090-1,4246595-2,4401090-1,4401090-1,4401090-1,4246595-2,fl:h_ln:fujimoto-38,fl:hi_ln:fujimoto-41,fl:hi_ln:fujimoto-29,fl:hi_ln:fujimoto-38
7209126,0,7209126-1,6489636-5,7209126-1,6629615-1,6629615-1,7209126-1,6629615-1,6629615-1,6629615-1,6629615-1,6629615-1,7209126-1,fl:a_ln:kim-51,fl:an_ln:kim-20,fl:an_ln:kim-40,fl:an_ln:kim-43
6447025,0,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,4506432-1,fl:j_ln:smith-7,fl:ja_ln:smith-283,fl:ja_ln:smith-6,fl:ja_ln:smith-6
7852184,2,5155941-12,5155941-12,5155941-12,5016842-1,10056757-9,5016842-1,5155941-12,5016842-1,3969153-1,5016842-1,5016842-1,5016842-1,fl:k_ln:suzuki-269,fl:ka_ln:suzuki-176,fl:ka_ln:suzuki-103,fl:ka_ln:suzuki-103
5619091,1,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,5619091-2,fl:s_ln:kwan-2,fl:si_ln:kwan-3,fl:si_ln:kwan-3,fl:si_ln:kwan-3
