patent_id,term_extension
6789667,99.0
8828032,73.0
9544990,155.0
D593512,
10462437,33.0
D574015,
7842205,579.0
9904120,252.0
7036078,503.0
7715713,2020.0
D609973,
9483780,91.0
9907249,10.0
9686302,120.0
10947016,13.0
11368013,255.0
7254703,401.0
7612312,667.0
D854248,
9038712,336.0
D649536,
D781483,
D757916,
7266896,36.0
8417842,582.0
11076557,39.0
7485360,661.0
8594371,594.0
7426684,706.0
D606724,
10888746,
9171497,33.0
8819270,225.0
10460906,80.0
D932162,
8542228,329.0
D459995,
8355044,931.0
D572042,
D329083,
6415030,
7527087,25.0
9377158,17.0
9165361,35.0
7539354,314.0
8224956,507.0
8724202,228.0
10545514,51.0
8066293,347.0
8369418,558.0
7435955,171.0
8303549,684.0
11400149,120.0
11253681,322.0
7678508,961.0
D389703,
D824693,
9202156,
8085413,1111.0
6704887,544.0
10910093,
9500410,1181.0
10287885,429.0
9146632,133.0
7825637,799.0
10417370,493.0
10067322,293.0
6557057,
11264981,
10424002,616.0
9944693,142.0
9055600,4.0
6999635,731.0
D871068,
7827141,578.0
8388130,517.0
5161237,
8379344,423.0
9169033,1075.0
10249436,22.0
9680774,205.0
9290890,664.0
4303556,
7060862,117.0
10996990,161.0
8651891,41.0
7183670,412.0
7836119,206.0
10636524,828.0
7503916,235.0
10221086,143.0
9820879,308.0
10663298,361.0
D649820,
10015464,908.0
7270231,117.0
D524439,
8565151,605.0
11421264,
D614149,
8435948,479.0
7200511,118.0
11450400,50.0
D646231,
8236726,438.0
8642920,459.0
10640842,
8493394,1106.0
10371092,728.0
7607915,692.0
9655603,533.0
D643312,
8582258,
11409348,212.0
8859078,570.0
8925542,1015.0
10739449,306.0
11115224,307.0
8004673,318.0
8375087,263.0
10730739,39.0
7273448,136.0
8544707,302.0
8448954,259.0
7567955,591.0
11454564,40.0
9875302,227.0
11279339,224.0
9592071,104.0
7694791,271.0
11209531,464.0
7813352,182.0
D884520,
6769824,97.0
D245241,
10165451,
10897046,88.0
10391910,333.0
8945331,30.0
7533563,97.0
7943599,729.0
8336746,161.0
9304566,1081.0
7018064,158.0
D505137,
7481293,498.0
9962480,433.0
11278841,
9763360,33.0
7346365,289.0
7672603,258.0
9550718,71.0
8299053,355.0
7922268,441.0
6927474,13.0
9427264,
10415879,162.0
D340589,
7682295,456.0
10962867,
D310626,
8398787,176.0
7258668,558.0
D492918,
10555225,
8296368,87.0
7723767,439.0
7164762,164.0
9656511,751.0
9654481,16.0
D575899,
10194109,43.0
7383247,509.0
11131026,
D518719,
10246383,
6751113,7.0
7585640,288.0
11025743,24.0
7234273,121.0
10347772,130.0
8007016,925.0
10838112,161.0
8722698,389.0
11269156,362.0
D466450,
10671487,
8370359,181.0
9872720,
9082952,424.0
8375122,1905.0
10431829,85.0
8894670,849.0
9422598,287.0
7284135,473.0
9605128,209.0
6807786,14.0
9952314,633.0
D578444,
5038539,
10575492,
9665716,16.0
8712348,210.0
7406998,183.0
8460288,739.0
7316171,264.0
9662225,
8313426,818.0
8099880,548.0
7288597,
D307903,
7099426,794.0
D429244,
8065393,1250.0
D961268,
6819911,685.0
10376545,169.0
7452702,735.0
9130489,65.0
8416544,118.0
8534760,498.0
D670928,
8385151,365.0
D267655,
7546674,445.0
7814977,117.0
7870824,449.0
D962750,
10712018,1002.0
D656302,
10596793,234.0
