application_id,patent_id,patent_application_type,filing_date,series_code,rule_47_flag
2012/13603470,8868970,13,2012-09-05,13,0.0
D                                   ,D398800,D,1997-09-12,D,0.0
08/941800,5859450,8,1997-09-30,8,0.0
07/505622,5134619,7,1990-04-06,7,0.0
08/631111,5630397,8,1996-04-12,8,0.0
2016/15093130,9464992,15,2016-04-07,15,0.0
2006/11562710,7722811,11,2006-11-22,11,0.0
06/479507,4448587,6,1983-03-28,6,0.0
2011/13989938,10362735,13,2011-11-28,13,0.0
2000/09725618,6965570,9,2000-11-29,9,0.0
06/197045,4312378,6,1980-10-15,6,0.0
2015/14645503,9391204,14,2015-03-12,14,0.0
2000/09577034,6963598,9,2000-05-23,9,0.0
1999/09458917,6911980,9,1999-12-10,9,0.0
07/269658,D313570,7,1988-11-10,7,0.0
2012/13694372,PP24619,13,2012-11-27,13,0.0
2013/29448876,D713603,29,2013-03-14,29,0.0
2016/15005469,9809481,15,2016-01-25,15,0.0
2004/10864289,7058047,10,2004-06-08,10,0.0
09/500056,6290995,9,2000-02-08,9,0.0
2015/15523384,10344069,15,2015-10-31,15,0.0
2014/14475821,9702353,14,2014-09-03,14,0.0
2009/12354240,7786617,12,2009-01-15,12,0.0
2018/16233629,11275772,16,2018-12-27,16,0.0
2008/12334719,8194828,12,2008-12-15,12,0.0
2015/14631835,9727509,14,2015-02-25,14,0.0
2016/15264040,10146429,15,2016-09-13,15,0.0
05/468568,3979797,5,1974-05-09,5,0.0
2013/14427894,9359008,14,2013-09-25,14,0.0
09/478224,6614806,9,2000-01-06,9,0.0
29/091499,D411258,29,1998-07-30,29,0.0
2015/14752753,10282886,14,2015-06-26,14,0.0
05/782249,4089291,5,1977-03-28,5,0.0
2020/17102995,11410197,17,2020-11-24,17,0.0
2014/14174553,9306448,14,2014-02-06,14,0.0
2019/16353125,11140821,16,2019-03-14,16,0.0
2011/13041977,8653976,13,2011-03-07,13,0.0
2018/15977672,10118756,15,2018-05-11,15,0.0
2008/12191937,8476462,12,2008-08-14,12,0.0
10/407793,6731191,10,2003-04-04,10,0.0
2015/14729697,10116460,14,2015-06-03,14,0.0
06/005533,4240104,6,1979-01-22,6,0.0
2012/13995595,9813849,13,2012-02-09,13,0.0
2019/16707385,11022644,16,2019-12-09,16,0.0
06/630763,4537594,6,1984-07-13,6,0.0
09/553387,6293308,9,2000-04-20,9,0.0
2017/15801586,10524285,15,2017-11-02,15,0.0
2012/13349009,9236555,13,2012-01-12,13,0.0
2010/12856403,8334594,12,2010-08-13,12,0.0
2018/15959892,11069252,15,2018-04-23,15,0.0
08/538106,6122279,8,1995-10-02,8,0.0
2013/13772408,11090900,13,2013-02-21,13,0.0
2016/15063222,10140538,15,2016-03-07,15,0.0
2019/16682344,10951575,16,2019-11-13,16,0.0
2015/14704318,10030083,14,2015-05-05,14,0.0
8                                   ,5847224,08,1995-06-23,08,0.0
07/555432,5065551,7,1990-08-10,7,0.0
09/707161,6589126,9,2000-11-06,9,0.0
2007/11821885,7507032,11,2007-06-26,11,0.0
2019/16584378,11313650,16,2019-09-26,16,0.0
2016/15762885,10851175,15,2016-09-23,15,0.0
2006/12158918,9212339,12,2006-12-29,12,0.0
2008/12168661,8758477,12,2008-07-07,12,0.0
2013/29459513,D715484,29,2013-07-01,29,0.0
07/821108,5223914,7,1992-01-15,7,0.0
8                                   ,5803771,08,1996-05-29,08,0.0
2007/11656644,8412153,11,2007-01-23,11,0.0
2014/14512679,8977376,14,2014-10-13,14,0.0
09/814562,6581494,9,2001-03-21,9,0.0
2009/13144577,10128977,13,2009-01-15,13,0.0
2011/13699511,9439986,13,2011-05-24,13,0.0
09/432473,6365715,9,1999-11-01,9,0.0
2008/12028585,7939881,12,2008-02-08,12,0.0
2005/11190168,7103497,11,2005-07-27,11,0.0
2011/13168448,8827073,13,2011-06-24,13,0.0
2012/13559427,9710943,13,2012-07-26,13,0.0
2005/29223294,D533691,29,2005-02-11,29,0.0
06/001106,4206223,6,1979-01-05,6,0.0
2009/12619558,9136594,12,2009-11-16,12,0.0
2007/11716590,8320684,11,2007-03-12,11,0.0
2004/10794524,7017063,10,2004-03-05,10,0.0
2007/12447080,9532980,12,2007-10-24,12,0.0
2009/12552123,7891654,12,2009-09-01,12,0.0
2006/11351928,7705830,11,2006-02-10,11,0.0
2013/14030325,9317490,14,2013-09-18,14,0.0
08/828686,6052736,8,1997-03-31,8,0.0
05/914785,4207029,5,1978-06-12,5,0.0
09/615778,6337561,9,2000-07-13,9,0.0
2020/16873587,10928173,16,2020-05-14,16,0.0
2010/12974844,8268170,12,2010-12-21,12,0.0
09/420601,6460868,9,1999-10-19,9,0.0
2015/29514426,D754237,29,2015-01-13,29,0.0
2014/14761291,9760822,14,2014-01-14,14,0.0
2006/11534227,8320532,11,2006-09-22,11,0.0
2010/12820207,8613420,12,2010-06-22,12,0.0
08/428676,5583783,8,1995-04-25,8,0.0
8                                   ,5837562,08,1995-07-07,08,0.0
06/481505,4488356,6,1983-04-01,6,0.0
2009/12541375,8112070,12,2009-08-14,12,0.0
2014/14326556,9819054,14,2014-07-09,14,0.0
06/335062,4428358,6,1981-12-28,6,0.0
2014/14271405,9151108,14,2014-05-06,14,0.0
2012/13646736,9423221,13,2012-10-08,13,0.0
2008/12596651,8223292,12,2008-01-15,12,0.0
2015/14678379,9867152,14,2015-04-03,14,0.0
2010/12731209,8363895,12,2010-03-25,12,0.0
8                                   ,5763924,8,1996-05-09,8,0.0
2011/13884002,9844029,13,2011-11-07,13,0.0
2013/29454165,D738505,29,2013-05-07,29,0.0
07/365612,4988806,7,1989-06-13,7,0.0
2017/29625780,D863676,29,2017-11-13,D,0.0
08/874304,5947810,8,1997-06-13,8,0.0
2019/17257410,11438538,17,2019-06-25,17,0.0
2001/10333934,6927392,10,2001-07-24,10,0.0
2014/14448556,9760967,14,2014-07-31,14,0.0
2016/29553556,D766507,29,2016-02-02,29,0.0
2007/11841584,7885063,11,2007-08-20,11,0.0
2018/16038968,10526334,16,2018-07-18,16,0.0
09/248358,6077015,9,1999-02-10,9,0.0
09/217182,6282358,9,1998-12-21,9,0.0
2013/13836497,10242159,13,2013-03-15,13,0.0
2012/13455415,9237287,13,2012-04-25,13,0.0
2017/15473462,10841216,15,2017-03-29,15,0.0
2008/12313178,PP20814,12,2008-11-18,12,0.0
2020/16788859,10965385,16,2020-02-12,16,0.0
2012/29426806,D686921,29,2012-07-11,29,0.0
07/795943,5202680,7,1991-11-18,7,0.0
07/733122,5229925,7,1991-07-19,7,0.0
05/780217,4124320,5,1977-03-23,5,0.0
07/592763,5060682,7,1990-10-04,7,0.0
2013/13743747,9360012,13,2013-01-17,13,0.0
06/143206,4344055,6,1980-04-24,6,0.0
09/433492,6305711,9,1999-11-03,9,0.0
2002/10319199,7917940,10,2002-12-13,10,0.0
07/270342,4937678,7,1988-11-14,7,0.0
2016/15009714,9418525,15,2016-01-28,15,0.0
8                                   ,5791008,08,1997-04-04,08,0.0
09/660847,6362106,9,2000-09-13,9,0.0
