patent_id,published_or_filed_date,filed_country,application_kind,pct_doc_number,pct_doc_type
10165891,2015-06-25,WO,A,WO2015/091143,wo_grant
10192721,2016-06-16,WO,A,WO2016/093269,wo_grant
8163977,2007-06-08,WO,00,PCT/IN2007/000231,pct_application
8341996,2007-08-02,WO,A,WO2007/085550,wo_grant
4833719,1987-09-11,WO,A,WO87/05430,wo_grant
8592029,2007-08-30,WO,A,WO2007/095927,wo_grant
9854670,2014-08-14,WO,00,PCT/JP2014/071427,pct_application
9578986,2013-09-06,WO,00,PCT/EP2013/068455,pct_application
10884098,2018-07-26,WO,A,WO2018/135923,wo_grant
5917541,1996-04-26,WO,00,PCT/JP96/01147,pct_application
8654696,2007-04-19,WO,A,WO2007/043477,wo_grant
9567220,2013-11-13,WO,00,PCT/KR2013/010289,pct_application
10377048,2016-03-24,WO,A,WO2016/041929,wo_grant
10254614,2016-07-21,WO,A,WO2016/113050,wo_grant
10500391,2017-02-09,WO,A,WO2017/022741,wo_grant
8279275,2006-11-16,WO,A,WO2006/120794,wo_grant
9450719,2013-03-05,WO,00,PCT/KR2013/001771,pct_application
9758348,2012-11-26,WO,00,PCT/GB2012/052916,pct_application
6355674,1998-11-05,WO,A,WO98/48786,wo_grant
9209619,2013-05-02,WO,A,WO2013/060861,wo_grant
10560619,2018-05-17,WO,A,WO2018/087170,wo_grant
11414797,2019-10-09,WO,00,PCT/EP2019/077320,pct_application
10256288,2017-04-27,WO,A,WO2017/068859,wo_grant
10442528,2016-01-07,WO,A,WO2016/001192,wo_grant
11145954,2018-02-01,WO,A,WO2018/022100,wo_grant
8547926,2009-03-02,WO,00,PCT/KR2009/001009,pct_application
8597349,2008-11-03,WO,00,PCT/US2008/012437,pct_application
10964183,2019-10-10,WO,A,WO2019/194793,wo_grant
RE48137,2013-03-05,WO,00,PCT/US2013/029053,pct_application
11130725,2019-05-03,WO,00,PCT/US2019/030571,pct_application
10714644,2011-03-17,WO,00,PCT/EP2011/001337,pct_application
9410706,2012-02-07,WO,00,PCT/FR2012/050258,pct_application
6471178,1998-11-26,WO,A,WO98/53221,wo_grant
10405566,2012-08-21,WO,00,PCT/GB2012/052040,pct_application
10080071,2014-04-11,WO,00,PCT/SE2014/050449,pct_application
10453362,2017-03-08,WO,00,PCT/EP2017/055463,pct_application
10616995,2016-10-14,WO,00,PCT/KR2016/011529,pct_application
10683434,2016-11-23,WO,00,PCT/EP2016/078598,pct_application
8083297,2005-01-28,WO,00,PCT/JP2005/001183,pct_application
8067247,2004-08-12,WO,A,WO2004/067034,wo_grant
9011520,2011-05-05,WO,A,WO2011/051942,wo_grant
10766862,2017-09-29,WO,00,PCT/CN2017/104260,pct_application
10605222,2016-03-31,WO,00,PCT/US2016/025158,pct_application
10005792,2016-03-10,WO,A,WO2016/034671,wo_grant
11376160,2018-02-23,WO,00,PCT/EP2018/054473,pct_application
7997634,2009-01-15,WO,A,WO2009/007507,wo_grant
10695503,2015-10-09,WO,00,PCT/EP2015/073428,pct_application
7446737,2005-03-22,WO,00,PCT/JP2005/005123,pct_application
7874595,2006-08-23,WO,00,PCT/EP2006/065603,pct_application
9850447,2014-11-27,WO,A,WO2014/189711,wo_grant
11267133,2020-02-13,WO,A,WO2020/030498,wo_grant
6855885,2003-03-06,WO,A,WO0301959,wo_grant
5882653,1994-10-07,WO,00,PCT/US94/11424,pct_application
9157702,2012-07-18,WO,00,PCT/IL2012/050255,pct_application
10611703,2017-06-22,WO,A,WO2017/103736,wo_grant
9677595,2012-08-19,WO,00,PCT/JP2012/070941,pct_application
8620503,2008-12-22,WO,00,PCT/JP2008/073300,pct_application
11402260,2019-01-17,WO,A,WO2019/010768,wo_grant
8569100,2009-12-30,WO,A,WO2009/157079,wo_grant
6869986,2001-02-08,WO,A,WO0109255,wo_grant
8955570,2011-02-25,WO,00,PCT/JP2011/054400,pct_application
11365212,2019-12-05,WO,A,WO2019/227228,wo_grant
10678090,2016-06-02,WO,00,PCT/CN2016/084488,pct_application
7591991,2003-03-06,WO,00,PCT/JP03/02673,pct_application
9977149,2014-09-12,WO,A,WO2014/135547,wo_grant
9311897,2012-07-05,WO,A,WO2012/090076,wo_grant
10670015,2016-09-01,WO,A,WO2016/136028,wo_grant
7287670,2003-05-23,WO,00,PCT/JP03/06491,pct_application
9673650,2012-11-01,WO,A,WO2012/146704,wo_grant
