patent_id,wipo_field_sequence,wipo_field_id,wipo_sector_title,wipo_field_title
4142335,0,35.0,Other fields,Civil engineering
7025559,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
10573060,1,6.0,Electrical engineering,Computer technology
7435301,0,19.0,Chemistry,Basic materials chemistry 
11059206,0,29.0,Mechanical engineering,Other special machines
7441481,0,26.0,Mechanical engineering,Machine tools
6859839,1,2.0,Electrical engineering,Audio-visual technology
5843903,0,16.0,Chemistry,Pharmaceuticals
9507338,1,12.0,Instruments,Control
11053121,3,29.0,Mechanical engineering,Other special machines
4903842,0,21.0,Chemistry,"Surface technology, coating"
5422642,0,5.0,Electrical engineering,Basic communication processes
6422112,0,26.0,Mechanical engineering,Machine tools
7959697,0,25.0,Mechanical engineering,Handling
10654868,1,14.0,Chemistry,Organic fine chemistry
6700013,0,16.0,Chemistry,Pharmaceuticals
6489221,0,8.0,Electrical engineering,Semiconductors
11437211,1,10.0,Instruments,Measurement
7754277,1,19.0,Chemistry,Basic materials chemistry 
6187324,0,14.0,Chemistry,Organic fine chemistry
8765687,1,15.0,Chemistry,Biotechnology
9393697,1,25.0,Mechanical engineering,Handling
9808034,3,30.0,Mechanical engineering,Thermal processes and apparatus
10841012,0,3.0,Electrical engineering,Telecommunications
10443499,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
10960760,1,2.0,Electrical engineering,Audio-visual technology
8995796,0,9.0,Instruments,Optics
4114217,0,26.0,Mechanical engineering,Machine tools
4897657,0,5.0,Electrical engineering,Basic communication processes
10455566,0,4.0,Electrical engineering,Digital communication
9384397,0,6.0,Electrical engineering,Computer technology
5666829,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
7574593,0,6.0,Electrical engineering,Computer technology
8599551,0,8.0,Electrical engineering,Semiconductors
5729042,1,15.0,Chemistry,Biotechnology
8629850,0,4.0,Electrical engineering,Digital communication
4218886,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
7972879,1,22.0,Chemistry,Micro-structural and nano-technology
7636374,0,4.0,Electrical engineering,Digital communication
5375389,0,35.0,Other fields,Civil engineering
6188794,0,2.0,Electrical engineering,Audio-visual technology
4193754,0,29.0,Mechanical engineering,Other special machines
7983717,0,4.0,Electrical engineering,Digital communication
8206833,0,21.0,Chemistry,"Surface technology, coating"
8906787,2,22.0,Chemistry,Micro-structural and nano-technology
6446878,0,20.0,Chemistry,"Materials, metallurgy"
4673742,0,14.0,Chemistry,Organic fine chemistry
8255837,0,9.0,Instruments,Optics
10477735,0,9.0,Instruments,Optics
6682840,1,20.0,Chemistry,"Materials, metallurgy"
6963332,0,6.0,Electrical engineering,Computer technology
9790606,0,21.0,Chemistry,"Surface technology, coating"
10204445,0,6.0,Electrical engineering,Computer technology
4254977,0,2.0,Electrical engineering,Audio-visual technology
5552968,0,33.0,Other fields,"Furniture, games"
5100828,0,8.0,Electrical engineering,Semiconductors
8674859,1,5.0,Electrical engineering,Basic communication processes
6907723,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
8039295,0,8.0,Electrical engineering,Semiconductors
6389145,0,2.0,Electrical engineering,Audio-visual technology
8976763,2,10.0,Instruments,Measurement
9109708,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
5367496,0,9.0,Instruments,Optics
4829302,0,5.0,Electrical engineering,Basic communication processes
6727240,0,16.0,Chemistry,Pharmaceuticals
