patent_id,ipc_sequence,classification_level,section,ipc_class,subclass,main_group,subgroup,symbol_position,classification_value,classification_status,classification_data_source,action_date,ipc_version_indicator
9589917,1,A,H,1,L,23,64,L,I,B,H,2017-03-07,2006-01-01
9466380,0,A,G,11,C,16,14,F,I,B,H,2016-10-11,2006-01-01
D395795,0,,D,7,01,,,,,,,,
10745319,3,A,C,3,C,3,97,L,I,B,H,2020-08-18,2006-01-01
10979373,5,A,G,6,F,40,30,L,N,B,H,2021-04-13,2020-01-01
8076555,1,A,A,1,H,1,02,L,I,B,H,2011-12-13,2006-01-01
10640666,6,A,C,9,D,11,326,L,I,B,H,2020-05-05,2014-01-01
10944204,1,A,H,1,R,13,502,L,I,B,H,2021-03-09,2006-01-01
10111888,2,A,A,61,K,9,0,L,I,B,H,2018-10-30,2006-01-01
6196801,0,,B,63,H,1,06,,,,,,
10372184,4,A,G,6,F,1,3296,L,I,B,H,2019-08-06,2019-01-01
9243125,2,A,B,29,C,67,24,L,I,B,H,2016-01-26,2006-01-01
11007133,6,A,A,61,K,38,16,L,I,B,H,2021-05-18,2006-01-01
11184443,33,A,A,62,C,3,7,L,I,B,H,2021-11-23,2006-01-01
9821758,0,A,B,60,R,22,195,F,I,B,H,2017-11-21,2006-01-01
11037234,0,A,G,6,Q,40,2,F,I,B,H,2021-06-15,2012-01-01
10305860,1,A,G,6,F,9,455,L,I,B,H,2019-05-28,2018-01-01
10665457,4,A,H,1,L,21,265,L,I,B,H,2020-05-26,2006-01-01
PP5626,0,,A,1,H,5,00,,,,,,
6940449,1,,G,1,S,013,/20,,,,,,
11043410,5,A,H,1,L,25,10,L,I,B,H,2021-06-22,2006-01-01
8516504,0,A,G,6,F,3,00,F,I,B,H,2013-08-20,2006-01-01
8927676,0,A,C,8,G,18,48,F,I,B,H,2015-01-06,2006-01-01
9432920,1,A,H,4,W,48,16,L,I,B,H,2016-08-30,2009-01-01
10391805,2,A,B,41,M,3,14,L,I,B,H,2019-08-27,2006-01-01
11291844,3,A,A,61,N,1,372,L,I,B,H,2022-04-05,2006-01-01
9299373,5,A,G,11,B,5,008,L,I,B,H,2016-03-29,2006-01-01
10397689,1,A,H,4,R,5,33,L,I,B,H,2019-08-27,2006-01-01
10512390,0,A,A,61,B,1,0,F,I,B,H,2019-12-24,2006-01-01
9840355,2,A,B,65,D,5,64,L,I,B,H,2017-12-12,2006-01-01
8871237,5,A,A,61,L,27,50,L,I,B,H,2014-10-28,2006-01-01
9021013,2,A,H,4,L,29,08,L,I,B,H,2015-04-28,2006-01-01
10730872,0,A,C,7,D,471,4,F,I,B,H,2020-08-04,2006-01-01
6704302,0,,H,4,L,12,413,,,,,,
7181311,2,A,B,29,C,30,06,L,N,B,H,2007-02-20,2006-01-01
7272873,0,A,F,16,B,21,09,F,I,B,H,2007-09-25,2006-01-01
7119037,0,A,D,4,B,1,22,F,I,B,H,2006-10-10,2006-01-01
9785225,6,A,G,6,F,9,50,L,I,B,H,2017-10-10,2006-01-01
11339662,1,A,F,1,D,5,30,L,I,B,H,2022-05-24,2006-01-01
10057020,1,A,H,4,L,1,24,L,I,B,H,2018-08-21,2006-01-01
6979312,0,,A,61,M,037,/00,,,,,,
9854715,5,A,F,25,B,23,00,L,I,B,H,2017-12-26,2006-01-01
10804103,6,A,B,41,K,3,4,L,I,B,H,2020-10-13,2006-01-01
9950303,2,A,B,1,J,13,14,L,I,B,H,2018-04-24,2006-01-01
11026534,2,A,A,47,K,3,38,L,I,B,H,2021-06-08,2006-01-01
11048394,1,A,G,6,F,3,485,L,I,B,H,2021-06-29,2013-01-01
8424740,0,A,A,61,B,17,068,F,I,B,H,2013-04-23,2006-01-01
4401545,2,,B,1,J,31,02,,,,,,
9785863,1,A,G,6,K,9,46,L,I,B,H,2017-10-10,2006-01-01
10646588,4,A,C,12,N,15,86,L,I,B,H,2020-05-12,2006-01-01
9038638,2,A,A,61,F,5,37,L,I,B,H,2015-05-26,2006-01-01
9689234,8,A,E,21,B,19,22,L,N,B,H,2017-06-27,2006-01-01
9495350,3,A,G,10,L,15,08,L,N,B,H,2016-11-15,2006-01-01
9324217,3,A,H,4,W,4,22,L,I,B,H,2016-04-26,2009-01-01
9038453,4,A,G,1,P,13,02,L,I,B,H,2015-05-26,2006-01-01
8211240,0,A,B,8,B,7,00,F,I,B,H,2012-07-03,2006-01-01
10174012,1,A,C,7,F,5,2,L,I,B,H,2019-01-08,2006-01-01
10852368,1,A,B,82,Y,25,0,L,I,B,H,2020-12-01,2011-01-01
5548542,0,,G,6,F,17,10,,,,,,
4627631,0,,B,62,D,25,16,,,,,,
10244224,0,A,G,6,K,9,0,F,I,B,H,2019-03-26,2006-01-01
10219225,4,A,H,4,W,88,6,L,I,B,H,2019-02-26,2009-01-01
10123051,0,A,H,4,N,19,85,F,I,B,H,2018-11-06,2014-01-01
10429856,2,A,G,1,C,23,0,L,I,B,H,2019-10-01,2006-01-01
10961772,2,A,E,6,B,9,32,L,I,B,H,2021-03-30,2006-01-01
10735949,2,A,H,4,W,84,4,L,I,B,H,2020-08-04,2009-01-01
9486316,5,A,A,61,B,17,70,L,I,B,H,2016-11-08,2006-01-01
11169065,6,A,G,6,Q,99,0,L,N,B,H,2021-11-09,2006-01-01
11094868,1,A,H,1,L,33,0,L,I,B,H,2021-08-17,2010-01-01
7143352,1,A,G,9,G,5,00,L,N,B,H,2006-11-28,2006-01-01
4198650,1,,H,4,N,5,21,,,,,,
9538892,4,A,B,25,J,9,16,L,I,B,H,2017-01-10,2006-01-01
9629309,1,A,A,1,D,43,063,L,I,B,H,2017-04-25,2006-01-01
11232252,0,A,G,6,F,16,957,F,I,B,H,2022-01-25,2019-01-01
11249799,0,A,G,6,F,15,16,F,I,B,H,2022-02-15,2006-01-01
11216880,0,A,G,6,Q,40,0,F,I,B,H,2022-01-04,2012-01-01
10502590,4,A,F,16,K,1,0,L,I,B,H,2019-12-10,2006-01-01
11256995,0,A,G,6,N,5,0,F,I,B,H,2022-02-22,2006-01-01
10956812,0,A,G,6,N,3,63,F,I,B,H,2021-03-23,2006-01-01
9838914,2,A,H,4,W,36,28,L,I,B,H,2017-12-05,2009-01-01
9544504,2,A,G,6,K,9,46,L,I,B,H,2017-01-10,2006-01-01
8487727,1,A,H,1,F,6,00,L,I,B,H,2013-07-16,2006-01-01
4854514,1,,B,65,H,54,10,,,,,,
10230192,2,A,H,1,R,13,28,L,I,B,H,2019-03-12,2006-01-01
9064728,2,A,H,1,L,27,108,L,N,B,H,2015-06-23,2006-01-01
9446978,5,A,D,4,H,3,02,L,I,B,H,2016-09-20,2006-01-01
10304585,4,A,C,9,D,127,18,L,I,B,H,2019-05-28,2006-01-01
6573559,0,,H,1,L,29,76,,,,,,
10927488,6,A,D,6,F,33,0,L,I,B,H,2021-02-23,2020-01-01
7647197,0,A,G,1,C,9,00,F,I,B,H,2010-01-12,2006-01-01
8343186,0,A,A,61,B,17,04,F,I,B,H,2013-01-01,2006-01-01
10982103,10,A,C,9,D,11,50,L,I,B,H,2021-04-20,2014-01-01
6400004,0,,H,1,L,23,495,,,,,,
11417412,1,A,G,11,C,29,50,L,I,B,H,2022-08-16,2006-01-01
10864817,2,A,F,2,D,41,22,L,I,B,H,2020-12-15,2006-01-01
10968247,0,A,A,1,N,43,4,F,I,B,H,2021-04-06,2006-01-01
5940510,0,,H,4,L,9,00,,,,,,
9474707,5,A,A,61,B,18,20,L,I,B,H,2016-10-25,2006-01-01
9829496,3,A,A,61,K,31,4178,L,I,B,H,2017-11-28,2006-01-01
10988678,9,A,C,9,K,8,92,L,I,B,H,2021-04-27,2006-01-01
10384756,8,A,B,63,H,20,12,L,I,B,H,2019-08-20,2006-01-01
9307782,3,A,A,23,K,1,18,L,I,B,H,2016-04-12,2006-01-01
11047661,1,A,F,42,B,33,2,L,I,B,H,2021-06-29,2006-01-01
5190028,0,,A,61,B,1,06,,,,,,
5677086,0,,H,1,M,4,52,,,,,,
8540333,0,A,B,41,J,29,38,F,I,B,H,2013-09-24,2006-01-01
3981812,3,,C,10,M,7,48,,,,,,
9084734,6,A,A,61,Q,7,02,L,I,B,H,2015-07-21,2006-01-01
7662529,0,A,G,3,G,15,02,F,I,B,H,2010-02-16,2006-01-01
9606225,2,A,G,1,S,13,46,L,N,B,H,2017-03-28,2006-01-01
10358327,9,A,F,16,J,15,28,L,I,B,H,2019-07-23,2006-01-01
5815088,1,,H,4,B,10,00,,,,,,
9182446,1,A,G,1,R,31,327,L,I,B,H,2015-11-10,2006-01-01
10347959,0,A,H,1,P,3,8,F,I,B,H,2019-07-09,2006-01-01
8483955,0,A,G,1,C,21,36,F,I,B,H,2013-07-09,2006-01-01
8726590,1,A,E,4,C,1,00,L,I,B,H,2014-05-20,2006-01-01
9527889,14,A,A,61,P,9,00,L,N,B,H,2016-12-27,2006-01-01
11078458,0,A,C,12,N,1,20,F,I,B,H,2021-08-03,2006-01-01
10985012,1,A,H,1,L,21,266,L,I,B,H,2021-04-20,2006-01-01
7725075,0,A,H,4,B,7,15,F,I,B,H,2010-05-25,2006-01-01
5890051,1,,H,4,B,1,26,,,,,,
7375152,0,A,C,8,L,1,00,F,I,B,H,2008-05-20,2006-01-01
10311007,3,A,G,6,F,13,364,L,I,B,H,2019-06-04,2006-01-01
7385623,0,A,H,4,N,7,14,F,I,B,H,2008-06-10,2006-01-01
5191247,2,,F,1,D,1,36,,,,,,
9513700,1,A,G,9,G,5,08,L,I,B,H,2016-12-06,2006-01-01
9516996,0,A,A,61,B,1,00,F,I,B,H,2016-12-13,2006-01-01
11300492,1,A,G,1,N,15,2,L,I,B,H,2022-04-12,2006-01-01
11282045,0,A,G,6,K,5,0,F,I,B,H,2022-03-22,2006-01-01
7063978,1,A,C,12,P,19,34,L,I,B,H,2006-06-20,2006-01-01
10831470,6,A,G,6,F,9,4401,L,I,B,H,2020-11-10,2018-01-01
10898746,1,A,B,5,B,1,26,L,I,B,H,2021-01-26,2006-01-01
9072172,6,A,H,4,M,1,02,L,N,B,H,2015-06-30,2006-01-01
6426989,0,,G,1,N,23,00,,,,,,
9842217,3,A,G,6,F,21,62,L,I,B,H,2017-12-12,2013-01-01
9552177,3,A,G,6,T,15,20,L,I,B,H,2017-01-24,2011-01-01
9484102,4,A,G,11,C,13,00,L,I,B,H,2016-11-01,2006-01-01
9763934,4,A,A,61,K,31,4174,L,I,B,H,2017-09-19,2006-01-01
9917397,0,A,H,1,R,13,627,F,I,B,H,2018-03-13,2006-01-01
4822106,1,,E,2,F,3,88,,,,,,
11006498,7,A,B,63,B,59,4,L,N,B,H,2021-05-11,2006-01-01
8495630,0,A,G,6,F,9,455,F,I,B,H,2013-07-23,2006-01-01
10786431,17,A,C,9,D,179,8,L,I,B,H,2020-09-29,2006-01-01
