patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
8678767,0,100 03 385,2001-08-01,cited by applicant,DE
8660961,23,1483282,1977-08-01,cited by applicant,GB
9106964,67,5283732,2013-07-01,cited by applicant,JP
10314624,17,880344,1998-12-01,cited by applicant,EP
10775850,78,203733685,2014-07-01,cited by applicant,CN
11132888,110,2004/004222,2004-01-01,cited by applicant,WO
11224620,250,WO-2012062780,2012-05-01,cited by applicant,WO
10044651,1,2479651,2011-10-01,cited by applicant,GB
9615139,36,WO 96/33579,1996-10-01,cited by applicant,WO
5072878,0,0153128,1982-09-01,,JP
7079461,2,01-140432,1989-06-01,cited by other,JP
10667201,5,2016009983,2016-01-01,cited by applicant,WO
9135182,1,1 737 044,2006-12-01,cited by applicant,EP
10103766,47,H05-41297,1993-06-01,cited by applicant,JP
5318300,2,420332,1934-11-01,,GB
11031223,34,2425178,2006-10-01,cited by applicant,GB
10611039,0,1854590,2007-04-01,cited by examiner,EP
10130525,470,WO2004084784,2004-10-01,cited by applicant,WO
9721755,25,1683593,2006-07-01,cited by applicant,EP
9242093,0,201107863,2008-08-01,cited by applicant,CN
9113866,42,1 507 481,2008-12-01,cited by applicant,EP
11191648,1,4012622,1991-07-01,cited by applicant,DE
5958897,0,2677250,1991-06-01,,FR
9255017,12,5200388,1993-08-01,cited by applicant,JP
10696116,5,102012210388,2013-01-01,cited by applicant,DE
8573295,6,2004225084,2004-08-01,cited by applicant,JP
10900066,47,06-064156,1994-09-01,cited by applicant,JP
8022174,9,WO-01/40466,2001-06-01,cited by other,WO
10144305,4,2014-6099,2014-01-01,cited by applicant,JP
7179783,5,2001-526304,2001-12-01,cited by other,JP
8901214,3,1522551,2005-04-01,cited by applicant,EP
10414765,18,WO2012059549,2012-05-01,cited by applicant,WO
9511139,47,WO-2010054010,2010-05-01,cited by applicant,WO
9274638,3,2757443,2014-07-01,cited by applicant,EP
5382508,2,WO84/02201,1984-06-01,,WO
9792761,3,1020000036734,2000-07-01,cited by applicant,KR
5042700,7,61-235056,1986-10-01,,JP
6848474,5,299 11 769,1999-10-01,cited by other,DE
8345011,1,1503104,2004-06-01,cited by other,CN
8038794,5,2002-241112,2002-08-01,cited by other,JP
10606128,9,2013-167799,2013-08-01,cited by applicant,JP
6764692,0,00/48613,2000-08-01,cited by examiner,WO
7691894,35,01 12186,2001-02-01,cited by other,WO
9618758,2,20090011437,2009-02-01,cited by applicant,KR
8147854,3,2243612,1990-09-01,cited by other,JP
10746193,33,104971567,2015-10-01,cited by applicant,CN
7256950,0,63-206721,1988-08-01,cited by other,JP
10857164,26,2227025,2004-04-01,cited by applicant,RU
10192174,9,WO 2006/055021,2006-05-01,cited by applicant,WO
4872404,7,3440558,1986-05-01,,DE
11059308,8,2008-279694,2008-11-01,cited by applicant,JP
8665916,2,2008-310277,2008-12-01,cited by applicant,JP
10351853,11,2013050422,2013-04-01,cited by applicant,WO
D930960,1,201222723,2009-04-01,cited by applicant,CN
8126176,6,5-173592,1993-07-01,cited by other,JP
10490553,75,2009-231613,2009-10-01,cited by applicant,JP
8643751,0,200828982,2008-07-01,cited by applicant,TW
9458629,2,56134026,1981-10-01,cited by applicant,JP
9225328,8,WO-00-41300,2000-07-01,cited by applicant,WO
10058963,402,2039308,2009-03-01,cited by applicant,EP
6774125,7,0434369,1991-06-01,cited by other,EP
5156799,6,8910869,1989-12-01,,DE
8283338,199,1879507,2006-12-01,cited by other,CN
8712580,164,2002-42446,2002-02-01,cited by applicant,JP
9102253,8,2007-326441,2007-12-01,cited by applicant,JP
9642229,5,2010-123478,2010-06-01,cited by applicant,JP
8372411,27,WO 2005/032582,2005-04-01,cited by applicant,WO
9345698,1,2 316 418,2011-05-01,cited by applicant,EP
10826475,9,2017049659,2017-03-01,cited by applicant,WO
11090046,121,625335,1997-11-01,cited by applicant,EP
9987357,79,WO-2008138639,2008-11-01,cited by applicant,WO
9686835,1,2011165634,2011-05-01,cited by applicant,JP
11420894,16,WO-9707927,1997-03-01,cited by examiner,WO
5913820,7,9304628,1993-03-01,,WO
4892077,0,45662,1974-05-01,,JP
10882793,9,WO-2016093587,2016-06-01,cited by examiner,WO
10341651,4,3107289,2016-12-01,cited by applicant,EP
9226238,0,1866948,2006-11-01,cited by applicant,CN
7210506,0,0 311 147,1989-04-01,cited by other,EP
11020112,243,2000271141,2000-10-01,cited by applicant,JP
5987299,2,WO 94/27193,1994-09-01,,WO
7232858,9,WO 99/00084,1997-01-01,cited by other,WO
9834793,27,WO 2011/147818,2011-12-01,cited by applicant,WO
4130186,3,1275306,1972-05-01,,GB
6710477,0,40 04 812,1991-09-01,cited by other,DE
7133477,4,WO 99/65160,1999-12-01,cited by other,WO
6319313,0,0691423 A1,1996-01-01,,EP
10478595,11,WO 07/146987,2007-12-01,cited by applicant,WO
4398604,0,105472,1971-02-01,,MX
10378130,24,1972706,2008-09-01,cited by applicant,EP
4717913,0,2823931,1979-12-01,,DE
11447374,48,3127547,1983-02-01,cited by applicant,DE
9163443,1,62-171315,1987-10-01,cited by applicant,JP
9467225,91,2008/133303,2008-11-01,cited by applicant,WO
5408705,0,2176581,1986-12-01,,GB
7953537,36,51-20491,1976-02-01,cited by other,JP
7429248,21,HEI 5-269159,1993-10-01,cited by other,JP
D921587,2,2017-216260,2017-12-01,cited by applicant,JP
8169139,16,2005-524966,2005-08-01,cited by other,JP
5624481,2,2662171,1991-11-01,,FR
7050383,15,2000-048478,2000-02-01,cited by other,JP
10127148,2,2010004557,2010-01-01,cited by applicant,WO
8383134,11,679172,1995-11-01,cited by applicant,EP
8884062,142,WO 2011/071057,2011-06-01,cited by applicant,WO
5287896,3,0430897,1990-10-01,,EP
4637821,7,1520787,1978-08-01,,GB
7567436,12,61-99873,1986-05-01,cited by other,JP
8699330,97,2004246023,2004-09-01,cited by applicant,JP
D337529,0,133517,1929-06-01,,CH
9694642,16,1 012 982,1965-12-01,cited by applicant,GB
8709258,1,2007114528,2007-10-01,cited by applicant,WO
4919103,1,2844053,1980-04-01,,DE
11130654,5,105151940,2015-12-01,cited by applicant,CN
7130630,0,00964542,1999-12-01,cited by other,EP
9735285,8,63-210022,1988-08-01,cited by applicant,JP
7252837,20,WO 96/040033,1996-12-01,cited by other,WO
11222903,6,104733462,2015-06-01,cited by applicant,CN
5443140,2,3629032,1988-04-01,,DE
D585063,4,2181096,1987-04-01,cited by other,GB
8301892,0,WO 03/001326,2003-03-01,cited by examiner,WO
7352430,28,5-127179,1993-05-01,cited by other,JP
8827852,2,2002-204504,2002-07-01,cited by applicant,JP
10296916,1,0101819-1,2003-02-01,cited by applicant,BR
11058422,300,2009189838,2009-08-01,cited by applicant,JP
9289224,3,571306,1993-11-01,cited by applicant,EP
7517626,7,10-239956,1998-09-01,cited by other,JP
9715313,1,103941936,2014-07-01,cited by applicant,CN
10639688,2,61-18405,1986-05-01,cited by applicant,JP
10485588,91,2006005198,2006-01-01,cited by applicant,WO
9403991,42,2009-204725,2009-09-01,cited by applicant,JP
9427428,4,WO2004/050035,2004-06-01,cited by applicant,WO
D561475,12,D3004958,2002-07-01,cited by other,GB
10833777,0,2006120582,2006-11-01,cited by applicant,WO
7469566,0,3912684,1990-10-01,cited by other,DE
9518299,28,WO 99/47922,1999-09-01,cited by applicant,WO
8097405,39,8607361,1986-12-01,cited by other,WO
10058963,1097,WO 2004/011037,2004-02-01,cited by applicant,WO
9758756,54,2012168662,2012-12-01,cited by applicant,WO
7512173,0,100 18 374,2001-10-01,cited by other,DE
9636258,32,H 04-221313,1992-08-01,cited by applicant,JP
