patent_id,raw_examiner_name_first,raw_examiner_name_last,examiner_role,art_group
4520409,Vincent P.,Canney,primary,
6888164,Fetsum,Abraham,primary,2826.0
7116663,Hassan,Kizou,primary,2662.0
7015706,Anjan,Deb,primary,2858.0
10688745,Sedef E,Paquette,assistant,1749.0
8929823,Eugene,Yun,primary,2647.0
7608928,Thanh V,Pham,primary,2894.0
10822279,Tabatha L,Penny,primary,1712.0
9490739,Michael A,Lyons,primary,2855.0
8300368,Zeev V,Kitov,assistant,2836.0
11351080,Carrie R,Dorna,primary,3791.0
9328872,Matthew R,Buck,primary,3678.0
4984231,Hoa,Nguyen,assistant,
7515247,Chia-how Michael,Liu,assistant,2851.0
D550682,Cathron C.,Brooks,primary,2911.0
9474419,Tony G,Soohoo,primary,1774.0
7273851,Thomas S.,Heard,assistant,1654.0
4955294,Jose V.,Chen,primary,
8938689,Linda,Huynh,assistant,2175.0
4365118,Thomas W.,Brown,primary,
10864758,Geoffrey S,Mruk,primary,2853.0
4754656,Robert R.,Raevis,assistant,
9198006,Warner,Wong,primary,2469.0
7622960,Lincoln,Donovan,primary,2816.0
7798734,Matthew G,Marini,assistant,2854.0
9651013,Moshe,Wilensky,primary,3726.0
5495459,Harold,Pitts,primary,
11052385,Cam N.,Nguyen,primary,1736.0
6301932,Michael P.,Colaianni,primary,
D415007,Reid,Hecker,assistant,
10967344,Scott R,Kastler,primary,1733.0
9103178,Kristyn,Hall,assistant,3672.0
5145252,Toan Vinh,To,assistant,
7742238,James R,Greece,assistant,2873.0
5973185,Gary,Geist,primary,
8740106,R. J.,"McCarry, Jr.",primary,3617.0
D834135,Catherine R,Oliver-Garcia,primary,2914.0
8865951,Sudhakar,Katakam,primary,1671.0
D808897,Catherine,Ho,assistant,2924.0
5072740,Vincent,Millin,primary,
10674989,David P,Porta,primary,2884.0
10845835,Thong Q,Le,primary,2827.0
4382214,David,"Smith, Jr.",primary,
4680833,Louis K.,Rimrodt,primary,
4415943,Patrick R.,Salce,primary,
8585092,Saul,Rodriguez,primary,3652.0
D415827,Eric M.,Watterson,assistant,
5724214,Stuart S.                     ,Levy,primary,
4169551,Charles,Gorenstein,primary,
5317033,John M.,"Cooney, Jr.",assistant,
11120252,Andrew W,Johns,primary,2665.0
D724198,Lilyana,Bekic,assistant,2915.0
4365020,Alvin E.,Tanenholtz,primary,
10367221,Ladan,Mohaddes,primary,1722.0
4963932,A. T.,Grimley,primary,
4781586,Samuel,Scott,primary,
4691584,Dennis L.,Taylor,primary,
9219565,Darren E,Wolf,primary,2636.0
5272019,Anthony,Skapars,primary,
9744886,Jason S,Daniels,primary,3612.0
10912138,Eric,Nowlin,primary,2474.0
4953460,Ren,Yan,assistant,
6996987,Hoang,Nguyen,primary,3748.0
8275252,Rochelle-Ann J,Blackman,primary,2852.0
D860435,Karen E,Kearney,primary,2915.0
4896828,Harry B.,Tanner,primary,
8926044,Alessandro,Amari,primary,2853.0
6006780,Stephen M.,Hepperle,primary,
10154492,Marsha D.,Banks Harold,primary,2465.0
D768617,Holly E,Thurman,assistant,2915.0
9597967,Zhen Y,Wu,assistant,2685.0
9298384,John,Lane,primary,2139.0
10864964,Michael R,Mansen,primary,3654.0
5182994,J. R.,Keating,assistant,
6177755,Thomas M.,Dougherty,primary,
6733994,James,Martinell,primary,1631.0
10678237,Alex C,Dunn,primary,3663.0
6605021,Nicholas D.,Lucchesi,primary,3764.0
8046871,Victor,Batson,primary,3677.0
10210427,Michael,"Vanchy, Jr.",assistant,2666.0
4511763,R.,Vaas,assistant,
6081928,Katherine M.,Moran,assistant,
D790534,Teddy,Falloway,assistant,2921.0
5792277,Jill                          ,Warden,primary,
