cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
B60K,"ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING, AIR INTAKE, GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES",B60K17/18,"Arrangement or mounting of transmissions in vehicles -characterised by arrangement, location, or kind of gearing -of differential gearing-in which the differential movement is obtained by resilient means",B60,VEHICLES IN GENERAL
F01N,GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL; GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR INTERNAL COMBUSTION ENGINES ,F01N2510/068,"Surface coverings-for exhaust purification, e.g. catalytic reaction-characterised by the distribution of the catalytic coatings",F01,MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/45565,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Wire connectors; Manufacturing methods related thereto-Structure, shape, material or disposition of the wire connectors prior to the connecting process-of an individual wire connector-Coating-Single coating layer",H01,BASIC ELECTRIC ELEMENTS
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/13099,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Bump connectors; Manufacturing methods related thereto-Structure, shape, material or disposition of the bump connectors prior to the connecting process-of an individual bump connector-Core members of the bump connector-Material",H01,BASIC ELECTRIC ELEMENTS
G03G,ELECTROGRAPHY; ELECTROPHOTOGRAPHY; MAGNETOGRAPHY ,G03G2215/0682,"Apparatus for electrophotographic processes-Developing structures, details-Toner cartridge or other attachable and detachable container for supplying developer material to replace the used material-Bag-type non-rigid container",G03,PHOTOGRAPHY; CINEMATOGRAPHY; ANALOGOUS TECHNIQUES USING WAVES OTHER THAN OPTICAL WAVES; ELECTROGRAPHY; HOLOGRAPHY
B32B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM",B32B2605/10,Vehicles-Trains,B32,LAYERED PRODUCTS
C07D,HETEROCYCLIC COMPOUNDS ,C07D417/06,"Heterocyclic compounds containing two or more hetero rings, at least one ring having nitrogen and sulfur atoms as the only ring hetero atoms, not provided for by group C07D415/00-containing two hetero rings-linked by a carbon chain containing only aliphatic carbon atoms",C07,ORGANIC CHEMISTRY
F16F,SPRINGS; SHOCK-ABSORBERS; MEANS FOR DAMPING VIBRATION,F16F9/464,"Springs, vibration-dampers, shock-absorbers, or similarly-constructed movement-dampers using a fluid or the equivalent as damping medium -Details-Means on or in the damper for manual or non-automatic adjustment; such means combined with temperature correction -allowing control from a distance ; , i.e. location of means for control input being remote from site of valves, e.g. on damper external wall -Control of valve bias or pre-stress, e.g. electromagnetically ",F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
H02K,DYNAMO-ELECTRIC MACHINES ,H02K5/128,"Casings; Enclosures; Supports -Casings or enclosures characterised by the shape, form or construction thereof-specially adapted for operating in liquid or gas -using air-gap sleeves or air-gap discs",H02,GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER
B21B,ROLLING OF METAL ,B21B45/06,"Devices for surface ; or other;  treatment of work, specially combined with or arranged in, or specially adapted for use in connection with, metal-rolling mills -for de-scaling ; , e.g. by brushing -of strip material ",B21,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL
G01R,MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES ,G01R31/2637,Arrangements for testing electric properties; Arrangements for locating electric faults; Arrangements for electrical testing characterised by what is being tested not provided for elsewhere -Testing of individual semiconductor devices -Circuits therefor -for testing other individual devices ,G01,MEASURING; TESTING
F16B,"DEVICES FOR FASTENING OR SECURING CONSTRUCTIONAL ELEMENTS OR MACHINE PARTS TOGETHER, e.g. NAILS, BOLTS, CIRCLIPS, CLAMPS, CLIPS, WEDGES, JOINTS OR JOINTING ",F16B13/0866,Dowels or other devices fastened in walls or the like by inserting them in holes made therein for that purpose -with parts gripping in the hole or behind the reverse side of the wall after inserting from the front -with separate ; or non-separate;  gripping parts moved into their final position in relation to the body of the device without further manual operation-with prongs penetrating into the wall of the hole by a retractile movement of a threaded member,F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
F41B,WEAPONS FOR PROJECTING MISSILES WITHOUT USE OF EXPLOSIVE OR COMBUSTIBLE PROPELLANT CHARGE; WEAPONS NOT OTHERWISE PROVIDED FOR ,F41B9/0009,"Liquid ejecting guns, e.g. water pistols ; , devices ejecting electrically charged liquid jets, devices ejecting liquid jets by explosive pressure-characterised by the pressurisation of the liquid -the liquid being pressurised prior to ejection-the pressurised liquid being contained in an expandable chamber, e.g. a bladder or a chamber with a spring-loaded slidable wall",F41,WEAPONS
F16D,COUPLINGS FOR TRANSMITTING ROTATION; CLUTCHES; BRAKES,F16D51/60,"Brakes with outwardly-movable braking members co-operating with the inner surface of a drum or the like -Self-tightening brakes with pivoted brake shoes, ; i.e. the braked member increases the braking action-with wedging action of a brake-shoe, e.g. the shoe entering as a wedge between the brake-drum and a stationary part",F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
H03F,AMPLIFIERS ,H03F2203/45471,Indexing scheme relating to amplifiers with only discharge tubes or only semiconductor devices as amplifying elements covered by H03F3/00-Indexing scheme relating to differential amplifiers-the CSC comprising one or more extra current sources,H03,BASIC ELECTRONIC CIRCUITRY
C08J,"WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES C08B, C08C, C08F, C08G or C08H ",C08J2477/10,Characterised by the use of polyamides obtained by reactions forming a carboxylic amide link in the main chain ; Derivatives of such polymers-Polyamides derived from aromatically bound amino and carboxyl groups of amino carboxylic acids or of polyamines and polycarboxylic acids,C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/13087,Program-control systems-Plc systems-Plc programming-Separate interrupt controller for modules,G05,CONTROLLING; REGULATING
E04G,"SCAFFOLDING; FORMS; SHUTTERING; BUILDING IMPLEMENTS OR AIDS, OR THEIR USE; HANDLING BUILDING MATERIALS ON THE SITE; REPAIRING, BREAKING-UP OR OTHER WORK ON EXISTING BUILDINGS",E04G11/26,"Forms, shutterings, or falsework for making walls, floors, ceilings, or roofs -for walls, e.g. curved ; end panels for wall shutterings; filler elements for wall shutterings; shutterings for vertical ducts-Movable forms; Movable forms for moulding cylindrical, conical or hyperbolical structures; Templates serving as forms for positioning blocks or the like -the sheathing of which consists of ribbons, endless aprons or the like, guided by driven rollers ",E04,BUILDING
C08F,MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS,C08F297/044,Macromolecular compounds obtained by successively polymerising different monomer systems using a catalyst of the ionic or coordination type without deactivating the intermediate polymer-using a catalyst of the anionic type-polymerising vinyl aromatic monomers and conjugated dienes-using a coupling agent,C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
C09J,ADHESIVES; NON-MECHANICAL ASPECTS OF ADHESIVE PROCESSES IN GENERAL; ADHESIVE PROCESSES NOT PROVIDED FOR ELSEWHERE; USE OF MATERIALS AS ADHESIVES ,C09J2400/166,Presence of inorganic and organic materials-Presence of inorganic materials-Metal-in the pretreated surface to be joined,C09,DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR
C08J,"WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES C08B, C08C, C08F, C08G or C08H ",C08J5/249,"Manufacture of articles or shaped materials containing macromolecular substances -Impregnating materials with prepolymers which can be polymerised in situ, e.g. manufacture of prepregs-characterised by the additives used in the prepolymer mixture",C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F21/629,"Security arrangements for protecting computers, components thereof, programs or data against unauthorised activity-Protecting data-Protecting access to data via a platform, e.g. using keys or access control rules-to features or functions of an application",G06,COMPUTING; CALCULATING; COUNTING
A61N,ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY ,A61N2007/0082,Ultrasound therapy -Scanning transducers,A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
H02M,"APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS; CONVERSION OF DC OR AC INPUT POWER INTO SURGE OUTPUT POWER; CONTROL OR REGULATION THEREOF ",H02M1/4275,Details of apparatus for conversion-Circuits or arrangements for compensating for or adjusting power factor in converters or inverters-Arrangements for improving power factor of AC input-by adding an auxiliary output voltage in series to the input,H02,GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER
B23B,TURNING; BORING ,B23B2235/12,"Turning of brake discs, drums or hubs-Machining of brake drums",B23,MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR
G01N,INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES ,G01N2333/4606,Assays involving biological materials from specific organisms or of a specific nature-from animals; from humans-from vertebrates-from amphibians,G01,MEASURING; TESTING
B29B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS,B29B7/7438,"Mixing; Kneading -using other mixers or combinations of ; mixers, e.g. of;  dissimilar mixers ; ; Plant-Mixing guns, i.e. hand-held mixing units having dispensing means ",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/41171,"Program-control systems-Nc systems-Servomotor, servo controller till figures-Different compensation for left and right movement",G05,CONTROLLING; REGULATING
A47L,DOMESTIC WASHING OR CLEANING ; SUCTION CLEANERS IN GENERAL ,A47L5/367,"Structural features of suction cleaners-with power-driven air-pumps or air-compressors, e.g. driven by motor vehicle engine vacuum-with rotary fans-Suction cleaners with hose between nozzle and casing; Suction cleaners for fixing on staircases; Suction cleaners for carrying on the back-Suction cleaners for fixing on staircases",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
B41J,"TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, ; e.g. INK-JET PRINTERS, THERMAL PRINTERS; , i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS ",B41J2/04566,"Typewriters or selective printing mechanisms characterised by the printing or marking process for which they are designed -characterised by bringing liquid or particles selectively into contact with a printing material -Ink jet-characterised by the jet generation process -generating single droplets or particles on demand-by pressure, e.g. electromechanical transducers-Control methods or devices therefor, e.g. driver circuits, control circuits-detecting humidity",B41,PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS
H04N,"PICTORIAL COMMUNICATION, e.g. TELEVISION",H04N1/32416,"Scanning, transmission or reproduction of documents or the like, e.g. facsimile transmission; Details thereof-Circuits or arrangements for control or supervision between transmitter and receiver ; or between image input and image output device, e.g. between a still-image camera and its memory or between a still-image camera and a printer device -using picture signal storage, e.g. at transmitter -intermediate the transmitter and receiver terminals, e.g. at an exchange-in connection with routing or relaying, e.g. using a fax-server or a store-and-forward facility -Handling instructions for routing or relaying-Storage of instructions or retrieval of prestored instructions",H04,ELECTRIC COMMUNICATION TECHNIQUE
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T74/20804,Machine element or mechanism-Control lever and linkage systems-Elements-Handles-Handle bars-Folding or adjustable-Sectional-Simultaneously movable,Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
B29B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS,B29B2911/14433,"Indexing scheme related to making preforms for blow-moulding bottles or the like-Layer configuration, geometry, dimensions or physical properties of preforms for blow-moulding bottles or the like-Geometry-Special shape-Special shape of specific parts of preform-Special neck-Closure retaining means",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
D05B,SEWING ,D05B23/003,"Sewing apparatus or machines not otherwise provided for -Sewing machines for straw cases, wisps of straw or canvas shoes",D05,SEWING; EMBROIDERING; TUFTING
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F2211/1064,"Indexing scheme relating to details of data-processing equipment not covered by groups G06F3/00 - G06F13/00-Indexing scheme relating to G06F11/10-Indexing scheme relating to G06F11/1076-Parity-single bit-RAID3, i.e. RAID 3 implementations",G06,COMPUTING; CALCULATING; COUNTING
H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION ",H04L29/08414,"Arrangements, apparatus, circuits or systems, not covered by a single one of groups H04L1/00 - H04L27/00-Communication control ; Communication processing -characterised by a protocol-Transmission control procedure, e.g. data link level control procedure-Protocols for network applications -in which application tasks are distributed across nodes in the network -Arrangements for peer-to-peer networking [P2P]; functionalities, architectural details or applications of P2P networks -involving resource based peer discovery mechanisms -Discovery involving distributed pre-established resource-based relationships among peers, e.g. based on DHTs ",H04,ELECTRIC COMMUNICATION TECHNIQUE
H01H,ELECTRIC SWITCHES; RELAYS; SELECTORS; EMERGENCY PROTECTIVE DEVICES ,H01H50/62,Details of electromagnetic relays -Contact arrangements-Co-operating movable contacts operated by separate electrical actuating means,H01,BASIC ELECTRIC ELEMENTS
F04D,NON-POSITIVE-DISPLACEMENT PUMPS ,F04D9/044,Priming; Preventing vapour lock-using priming pumps; using booster pumps to prevent vapour-lock-Means for rendering the priming pump inoperative,F04,POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
A47B,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE ,A47B2200/0057,"General construction of tables or desks-Tables or desks with features relating to adjustability or folding-Leg adjustment-with a motor, e.g. an electric motor-situated under the worktop",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
H03F,AMPLIFIERS ,H03F2203/21175,"Indexing scheme relating to amplifiers with only discharge tubes or only semiconductor devices as amplifying elements covered by H03F3/00-Indexing scheme relating to power amplifiers, e.g. Class B amplifiers, Class C amplifiers-with semiconductor devices only-using a combination of several amplifiers-An output signal of a power amplifier being on/off switched",H03,BASIC ELECTRONIC CIRCUITRY
G08B,SIGNALLING OR CALLING SYSTEMS; ORDER TELEGRAPHS; ALARM SYSTEMS,G08B5/32,"Visible signalling systems, e.g. personal calling systems, remote indication of seats occupied-using electric transmission; using electromagnetic transmission-with indicator element moving rectilinearly",G08,SIGNALLING
F27D,"DETAILS OR ACCESSORIES OF FURNACES, KILNS, OVENS, OR RETORTS, IN SO FAR AS THEY ARE OF KINDS OCCURRING IN MORE THAN ONE KIND OF FURNACE ",F27D11/08,"Arrangement of elements for electric heating in or on furnaces -Heating by electric discharge, e.g. arc discharge",F27,FURNACES; KILNS; OVENS; RETORTS
A23B,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS",A23B7/085,Preservation or chemical ripening of fruit or vegetables-Preserving with sugars -in a solution of sugar,A23,"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T74/20037,Machine element or mechanism-Control lever and linkage systems-Multiple controlled elements-Transmission control-Occupant propelled vehicle,Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B17/320068,"Surgical instruments, devices or methods, e.g. tourniquets -Surgical cutting instruments -using mechanical vibrations, e.g. ultrasonic ",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS",F04C2270/70,"Control; Monitoring or safety arrangements-Safety, emergency conditions or requirements",F04,POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F30/20,"Computer-aided design [CAD]-Design optimisation, verification or simulation ",G06,COMPUTING; CALCULATING; COUNTING
E01C,"CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE; MACHINES OR AUXILIARY TOOLS FOR CONSTRUCTION OR REPAIR ",E01C2019/208,"Machines, tools or auxiliary devices for preparing or distributing paving materials, for working the placed materials, or for forming, consolidating, or finishing the paving -for distributing granular or liquid materials -Apparatus for distributing, e.g. spreading, granular or pulverulent materials, e.g. sand, gravel, salt, dry binders -Details not otherwise provided for-Feeding the distribution means-with longitudinal auger",E01,"CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES"
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/36005,"Program-control systems-Nc systems-Nc in input of data, input key till input tape-Same knob, different functions, turn for position, push and turn for speed",G05,CONTROLLING; REGULATING
B23K,"SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING; WORKING BY LASER BEAM ",B23K9/1056,Arc welding or cutting -Other electric circuits therefor; Protective circuits; Remote controls-Power supply-characterised by the electric circuit -by using digital means ,B23,MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR
F02B,INTERNAL-COMBUSTION PISTON ENGINES; COMBUSTION ENGINES IN GENERAL ,F02B55/08,Internal-combustion aspects of rotary pistons; Outer members for co-operation with rotary pistons-Outer members for co-operation with rotary pistons; Casings,F02,COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING",B25B13/48,Spanners; Wrenches -for special purposes,B25,HAND TOOLS; PORTABLE POWER-DRIVEN TOOLS; MANIPULATORS
B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING ; DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS",B24B27/027,Other grinding machines or devices-having a flexible shaft,B24,GRINDING; POLISHING
H01J,ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS ,H01J37/32926,"Discharge tubes with provision for introducing objects or material to be exposed to the discharge, e.g. for the purpose of examination or processing thereof -Gas-filled discharge tubes -Plasma diagnostics-Software, data control or modelling",H01,BASIC ELECTRIC ELEMENTS
A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS ; OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES ",A61G2203/30,General characteristics of devices-characterised by sensor means,A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
G06K,GRAPHICAL DATA READING ; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS,G06K19/0712,"Record carriers for use with machines and with at least a part designed to carry digital markings-characterised by the kind of the digital marking, e.g. shape, nature, code-Record carriers with conductive marks, printed circuits or semiconductor circuit elements, e.g. credit or identity cards ; also with resonating or responding marks without active components-with integrated circuit chips-at least one of the integrated circuit chips comprising an arrangement for power management-the arrangement being capable of triggering distinct operating modes or functions dependent on the strength of an energy or interrogation field in the proximity of the record carrier ",G06,COMPUTING; CALCULATING; COUNTING
A47L,DOMESTIC WASHING OR CLEANING ; SUCTION CLEANERS IN GENERAL ,A47L9/187,"Details or accessories of suction cleaners, e.g. mechanical means for controlling the suction or for effecting pulsating action; Storing devices specially adapted to suction cleaners or parts thereof; Carrying-vehicles specially adapted for suction cleaners-Filters ; Dust separators; Dust removal; Automatic exchange of filters -Liquid filters-Construction of outlets-with filtering means, e.g. separators",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
E05Y,"INDEXING SCHEME RELATING TO HINGES OR OTHER SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS AND DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION, CHECKS FOR WINGS AND WING FITTINGS NOT OTHERWISE PROVIDED FOR, CONCERNED WITH THE FUNCTIONING OF THE WING",E05Y2201/72,Constructional elements; Accessories therefore-Suspension or transmission members; Accessories therefore-Suspension or transmission members elements-Toothed gearing-Planetary gearing,E05,LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F16/3328,"Information retrieval; Database structures therefor; File system structures therefor-of unstructured textual data -Querying-Query formulation-Reformulation based on results of preceding query-using relevance feedback from the user, e.g. relevance feedback on documents, documents sets, document terms or passages-using graphical result space presentation or visualisation",G06,COMPUTING; CALCULATING; COUNTING
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B1/00025,"Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes ; Illuminating arrangements therefor -Operational features of endoscopes-characterised by power management",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
G11B,INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER ,G11B15/1816,"Driving, starting or stopping record carriers of filamentary or web form; Driving both such record carriers and heads; Guiding such record carriers or containers therefor; Control thereof; Control of operating function -Driving; Starting; Stopping; Arrangements for control or regulation thereof -Driving of both record carrier and head -Programmed access in sequence to indexed parts of operating tapes cooperating with rotating heads ",G11,INFORMATION STORAGE
A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A21D OR A23B-A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT ; PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL",A23L27/24,"Spices; Flavouring agents or condiments; Artificial sweetening agents; Table salts; Dietetic salt substitutes; Preparation or treatment thereof-Synthetic spices, flavouring agents or condiments-prepared by fermentation",A23,"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY ",A61H33/6073,Bathing devices for special therapeutic or hygienic purposes -Components specifically designed for the therapeutic baths of groups A61H33/00 -Outlet from the bath-Intake mouths for recirculation of fluid in whirlpool baths,A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
B62M,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES; POWERED PROPULSION OF SLEDGES OR ; SINGLE-TRACK;  CYCLES; TRANSMISSIONS SPECIALLY ADAPTED FOR SUCH VEHICLES ,B62M9/121,"Transmissions characterised by use of an endless chain, belt, or the like -of changeable ratio-using a single chain, belt, or the like-involving different-sized wheels, ; e.g. rear sprocket chain wheels;  selectively engaged by the chain, belt, or the like -the chain, belt, or the like being laterally shiftable ; , e.g. using a rear derailleur-Rear derailleurs",B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES",B65D2501/24707,Containers having bodies formed in one piece-Boxes or like containers with moulded compartments or partitions-Details relating to bottle crates-Crates shaped to be nested when empty and superposed when full-Identical stackable crates adapted for nesting after rotation around a vertitcal axis-about 180 degrees only,B65,CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL
G01P,"MEASURING LINEAR OR ANGULAR SPEED, ACCELERATION, DECELERATION, OR SHOCK; INDICATING PRESENCE, ABSENCE, OR DIRECTION, OF MOVEMENT ",G01P2015/0868,"Measuring acceleration; Measuring deceleration; Measuring shock, i.e. sudden change of acceleration-by making use of inertia forces ; using solid seismic masses-with conversion into electric or magnetic values-being provided with particular means being integrated into a MEMS accelerometer structure for providing particular additional functionalities to those of a spring mass system-using self-test structures integrated into the microstructure",G01,MEASURING; TESTING
