paper,author,affiliation1
589230287,2617646823,16835326
2801821315,2801512836,110736937
2206651934,2276095520,200576644
1985391607,2236143603,169045520
2804882919,29713661,149672521
117108034,2290246382,114017466
265007127,2171524184,181391015
2054338527,2662781719,129902397
2093185736,2263483626,142822886
2182294458,1922665873,75092371
2087954508,2125246713,32971472
2091705327,2141298091,25112270
2885385727,2894345406,1280045555
2212767772,2574606765,34352273
1985859017,2643968981,70571728
2159026626,2401354961,24603500
2097291681,2256465239,16371252
1617057909,2076028261,102808428
2202846276,2110181343,190082696
2000815470,2052711986,1850255
2572246523,143508705,31466659
2051491843,2684443583,1282311441
1825003046,2920754706,20089843
2387336098,2496593773,12411659
1970525536,2143336974,141945490
2524454927,2116738950,19716509
2076124077,1938083594,74775410
2017487406,2715036663,8087733
2752549928,2126292471,1516879
2480668779,2132272974,88179191
1989481910,2139175614,921990950
2004099974,2749976749,31746571
2027349268,2045151176,179225836
2005029865,2536905239,75951250
2001534358,2137357888,135598925
2179387336,2123742476,136199984
2791433464,2260979584,4665924
2346468443,2153385019,22299242
2583948926,2664890229,114457229
2172416898,2713026194,8087733
1553508692,2051724280,879563668
2525080062,1977569368,79767729
2020685221,2196788591,59606676
2004495696,2247831743,5343935
2513488356,2517039237,102197404
2125783898,2120371477,176790772
2024030101,2569375261,240666556
2527256829,2100411269,163770644
1597017835,2099026309,19268510
2024621698,2632099333,90745801
2405606236,2700355583,67826202
2087250808,217053256,32389192
2125942968,2485863468,1340179700
2020760611,2302808525,74485261
2259640260,2327836053,99065089
2067529579,847715688,134820265
2032992418,2804492825,1648549
1562548410,2131772475,151809719
2269585677,2110354927,58048189
1554846139,2151449114,20942203
2080720126,2302879249,921990950
2138518783,2269248492,1290206253
2014614648,2106487085,195342982
2089267424,580990694,136199984
2398295368,2191520133,71395657
1988290006,2632173779,159488224
2407181472,2315004724,91136226
2359096220,2374336951,1298852496
2078366427,2111528715,114027177
2271324623,979262813,873043661
2022887622,2112774738,59475050
2074165493,2483073306,99065089
2079084705,2569511972,97018004
2303477510,2250591487,35928602
1606686652,2437052199,1336096307
2099975507,1992564944,149899117
2013858831,2680842467,160727737
2792490237,2259929422,98677209
2270293877,2587391683,1341412227
2523972774,2162382823,91136226
2885289883,2282086102,19908199
2079585988,2567508772,27837315
2403833877,2135451515,1310269161
2896979029,2168961490,75444546
2211939647,2012552953,64351976
2109779946,2017622874,145872427
2464602942,2581009205,112576028
2038251837,2253401946,76198965
2623097840,1976296836,146416000
2073433890,2675101422,16391192
2224746625,2118702597,165143802
1964551301,2553242266,67581229
2059795756,2551434640,2800155786
2111586331,2120265031,205783295
1969881245,2142354366,1330342723
2222910071,2547864722,118892805
1495027727,2618276523,1306686416
2909375793,2614227937,39063666
1969987881,1877557627,200332995
2052926480,2161389893,32389192
2109363888,2018565161,155660961
1995006532,1192662407,60134161
2059224448,2638665783,12912129
2735947021,249164970,1288882113
2391438884,2428782261,159948400
2560761797,2560792528,152185767
2335465050,2317727167,52119777
2000031758,2471431333,165779595
2395265789,2528068039,153908563
2089424754,2488470230,8204097
2297384136,1977850293,190085865
2066599460,2102122772,189158943
2249591001,833296142,1306287861
2471542144,2479248505,90344618
2784606141,2604344388,47508984
2063960686,1989397575,1289437631
131566325,2091063319,162608824
2084700313,2568539772,1299303238
1981557191,2693034023,39343248
1968207282,2622034983,1313323035
2790568789,2111205748,24541011
2020259298,2219560234,102322142
2070226426,2810284158,86519309
2118505355,2716287250,1337373389
2766854515,2637899705,19820366
2118109579,2046291736,165450437
1500096216,2111966371,91807558
1976043677,2761466512,114832834
2078930402,2588738281,884809797
2154016500,2726815478,134560555
2014772064,2329253598,72951846
2087903336,2138260030,203765153
2159062139,2421580652,93860229
67026687,2112255007,1313323035
1926005517,304621228,149851306
1986837425,2178689422,1289490764
2888478014,183487685,28407311
1602727375,2669933445,167494164
56122526,2171212077,139264467
2016629241,2106030673,6178835
2218447707,2803926800,123387679
12088521,2921152685,174878644
2803082256,2562099455,154425047
2013387907,2716493094,125749732
2262323886,1904623652,74760111
2126217107,2110981184,1288882113
2062599738,2702475115,9217761
2520471341,2316551229,169108374
2136136664,2479414368,1288702032
2402648661,2400469989,889804353
2084492905,2906688307,149899117
2802741523,2611917534,102322052
984959620,2122534907,154387261
2120085697,2632046378,148446530
2104658393,2646129505,1327095140
2311909731,2401784161,155313962
2402144148,2476645150,12912129
2744949758,1866977292,161046081
2899163437,2737415565,136199984
2903880059,2905275358,19820366
2188576260,2632808010,95457486
2030416934,2224844225,171543936
2026730603,2625402750,1327163397
2622563169,1994661808,161057412
2006197999,2154248925,154425047
2301745099,2303769128,1317171322
2891260313,2891693095,43895496
2267103087,2191131188,1283473643
2005680407,2641103415,74973139
2078319258,2677723093,110534114
2315916846,2104338713,104946051
65502337,2429053008,44666525
2060840406,733341117,121934306
124497143,2109575046,134421475
2486579268,2676981683,1342924430
2239671197,2193769234,137768463
44586440,2181285110,39063666
