paper_id,FoS_list,research_area
4942131,"90924648,2778456037,71924100,126322002,207886595,61434518,2775967933,8443397,2778593092,2775982439,3018539635,2776884468",Medicine:0.67_Biology:0.33
4971685,"192562407,66938386,90417339,2779797317,15466294,2991850932,193297759,203311528,57879066,2993918361",Engineering:0.57_Political science:0.23_Materials science:0.1_Physics:0.1
4975464,"28704281,19351080,2983807324,34972735,41008148,2778588580,33326189,201995342",Engineering:0.49_Computer science:0.38_Economics:0.06_Political science:0.04_Business:0.03
4989164,"2910547248,187212893,3020752830,3020705096,126322002,71924100,3018759868,555293320,122048520,2986834420,203014093,192536144,134018914",Medicine:0.6_Biology:0.4
4993362,"15744967,2780674532,15708023,187736073",Psychology:0.25_Economics:0.25_Medicine:0.12_Biology:0.12_Philosophy:0.12_Art:0.12
5045811,"134560507,184603391,144133560,4792198,532444271,145940883,78244369,83864248,2779777834,22212356,552854447",Economics:0.38_Engineering:0.16_Business:0.15_Environmental science:0.11_Biology:0.09_Geography:0.07_Sociology:0.03_Political science:0.03
5081985,"138885662,15708023",Philosophy:0.75_Art:0.25
5153822,"95457728,166957645,2549261,100970517",History:0.5_Geography:0.38_Sociology:0.12
5233683,"74916050,95457728,195244886",History:0.83_Art:0.17
5385841,"33923547,105795698,121864883,151406439",Mathematics:0.65_Physics:0.25_Computer science:0.05_Economics:0.05
5412245,"192562407,97749803,10730404,49040817,2986363333,520434653,51221625",Physics:0.46_Materials science:0.36_Engineering:0.13_Political science:0.05
5473212,144024400,Sociology:1.0
5531833,"2781087020,3020421440,185592680,178790620,130641587,3020153575,19038510,543025807,2910243351,43617362",Chemistry:0.64_Biology:0.26_Medicine:0.1_Physics:0.01
5540765,"15744967,29122968,3018023364,15491014,2780299701,58341921,165876765,136764020,154290542",Medicine:0.38_Economics:0.24_Psychology:0.12_Computer science:0.12_Business:0.06_Geology:0.05_Biology:0.03
5565543,"182748727,179065325,90278072,200114574,43133876,140820882,57879066,121332964,207857233,538625479",Psychology:0.7_Physics:0.27_Engineering:0.03
5571774,"138885662,15708023",Philosophy:0.75_Art:0.25
5621432,"120936955,162853370,2988532345,127413603,2778813691,552854447",Business:0.25_Engineering:0.21_Psychology:0.17_Economics:0.12_Mathematics:0.08_Philosophy:0.08_Biology:0.04_Environmental science:0.04
5623464,"91311341,21880701,199639397,127413603",Engineering:0.92_Physics:0.08
5693503,"2909372761,126322002,164705383,100175707,71924100,555293320",Medicine:0.75_Biology:0.25
5796232,"138885662,15708023,124952713",Philosophy:0.5_Art:0.5
5903233,"189326681,47768531,162324750",Economics:0.89_Political science:0.11
5977713,"514011633,105297191,95457728,2776142151,124952713,95480931,144090359",Art:0.3_History:0.3_Biology:0.14_Geography:0.09_Political science:0.09_Philosophy:0.04_Sociology:0.04
6040225,"95457728,195244886",History:1.0
6064454,"78519656,199639397,127413603",Engineering:1.0
6084543,"17744445,19417346,44493715,2985172591",Psychology:0.33_Political science:0.25_Sociology:0.23_Mathematics:0.1_Medicine:0.1
6096722,"192562407,140807948,53964469,143401881,192271897,84229,30080830,44221107,82217956,26873012",Physics:0.5_Materials science:0.33_Engineering:0.1_Mathematics:0.03_History:0.03_Geography:0.03
6099501,"159985019,66938386,192562407,104779481,178405089,83469408,168834538",Materials science:0.42_Engineering:0.32_Mathematics:0.11_Computer science:0.11_Physics:0.05
6112983,"15708023,138885662,48580701,2777632292",Philosophy:0.5_Art:0.19_Sociology:0.15_Economics:0.08_Political science:0.08
6211014,"6303427,17744445",Political science:0.5_History:0.25_Economics:0.25
6214574,"2778916471,178790620,185592680,107538193,3017503587,2779433975,2778123984,169260993,2986274086,87554066,43617362",Chemistry:0.5_Biology:0.2_Medicine:0.06_Engineering:0.06_Materials science:0.06_Physics:0.05_Art:0.05_Psychology:0.03
6224041,"164705383,126322002,29456083,71924100",Medicine:1.0
6312421,"94625758,144024400,17058734,47768531,3018567284,68346564,2780526558,199539241,555826173,501008422,111439079",Political science:0.78_Economics:0.12_Sociology:0.1
6339092,"24890656,127413603",Physics:0.5_Engineering:0.5
