entity_id,fos_list
2910375881,Biology:0.5_Geography:0.5
2909026491,Biology:1.0
3020080626,Medicine:1.0
2993984902,Chemistry:0.5_Biology:0.25_Physics:0.25
2908686017,Biology:0.5_Chemistry:0.36_Medicine:0.14
2778966437,Biology:0.33_Geology:0.33_Engineering:0.33
2909060446,-:0.0
2777950168,-:0.0
2779523701,-:0.0
3020005236,Medicine:0.5_Biology:0.5
2779161064,Medicine:0.5_Biology:0.5
2908821064,Biology:0.5_Chemistry:0.3_Medicine:0.2
2911218228,Medicine:0.5_Biology:0.5
115842085,Computer science:0.69_Psychology:0.15_Philosophy:0.08_Art:0.08
2908945945,Biology:0.57_Chemistry:0.43
2994113119,Physics:0.56_Engineering:0.33_Materials science:0.11
2910746740,Medicine:0.5_Biology:0.5
14641988,Geology:0.6_Engineering:0.4
2911091086,Medicine:0.5_Biology:0.5
2910360294,-:0.0
2909260655,-:0.0
3018201436,Medicine:0.5_Biology:0.5
2988919154,Computer science:0.67_Engineering:0.33
2910135234,Biology:0.52_Medicine:0.43_Chemistry:0.05
2910919927,-:0.0
167002459,Economics:0.5_Engineering:0.25_Business:0.25
130720137,Biology:1.0
2992709865,Engineering:0.67_Political science:0.33
2911197564,-:0.0
66690126,Engineering:0.67_Political science:0.33
2909771249,Biology:0.6_Medicine:0.2_Chemistry:0.2
2908685085,Biology:0.5_Medicine:0.4_Chemistry:0.1
2780103025,Medicine:0.5_Biology:0.5
2910743678,-:0.0
2778944860,-:0.0
2909481045,-:0.0
2909944607,Medicine:0.5_Biology:0.5
2908891773,-:0.0
195277927,Psychology:0.4_Sociology:0.2_Mathematics:0.2_Medicine:0.2
2779617201,Computer science:1.0
2909487959,Physics:0.67_Materials science:0.33
2776882490,Biology:0.75_Geology:0.15_Medicine:0.1
2779418313,-:0.0
2992786189,Engineering:0.67_Materials science:0.33
2910507507,-:0.0
2910120458,Biology:0.67_Geography:0.33
202112998,Engineering:0.67_Political science:0.33
2776815310,Biology:1.0
2778619524,Chemistry:0.75_Biology:0.25
2993004913,Biology:0.44_Chemistry:0.22_Medicine:0.19_Engineering:0.06_Materials science:0.06_Physics:0.03
2909072114,Medicine:0.5_Biology:0.5
2776653205,Chemistry:0.71_Engineering:0.14_Materials science:0.14
2909837387,-:0.0
2778558963,Medicine:0.5_Biology:0.33_Psychology:0.17
2908783177,Medicine:0.5_Biology:0.5
2909278272,-:0.0
2909757486,Biology:1.0
2910321015,Biology:1.0
2908669941,Medicine:0.5_Biology:0.5
137096054,Physics:0.5_Biology:0.25_Geology:0.25
2781263437,Biology:0.67_Medicine:0.33
2909516843,-:0.0
2777805937,Computer science:1.0
2910838688,Medicine:0.5_Biology:0.5
86040059,Physics:1.0
2910418124,Biology:0.75_Chemistry:0.25
2908823765,-:0.0
2779729865,Mathematics:1.0
2910894435,Medicine:0.5_Biology:0.5
2910143850,Biology:0.67_Chemistry:0.17_Medicine:0.17
2910080164,-:0.0
2779387294,Engineering:0.67_Political science:0.33
2910978977,Mathematics:0.33_Engineering:0.33_Economics:0.33
2910838206,-:0.0
37692320,Medicine:0.67_Psychology:0.33
3020363129,Medicine:0.5_Biology:0.5
2909942053,Biology:0.62_Chemistry:0.25_Medicine:0.12
2910120487,Chemistry:0.67_Materials science:0.33
2775870960,Computer science:1.0
2777094654,Biology:0.5_Geology:0.5
2911205753,-:0.0
2909766826,Biology:0.75_Chemistry:0.25
2779057678,Biology:0.67_Geology:0.33
2779698405,Mathematics:1.0
2909075205,Medicine:0.5_Biology:0.5
166047926,Psychology:0.75_Medicine:0.25
2911221041,-:0.0
2910679371,-:0.0
2911057143,Medicine:0.5_Biology:0.5
2909963371,-:0.0
2777310530,Mathematics:0.5_Medicine:0.5
2909915447,Medicine:0.5_Biology:0.5
2908630022,Medicine:0.5_Biology:0.5
24169984,Computer science:1.0
2993750075,Mathematics:0.53_Computer science:0.41_Engineering:0.06
2908834700,Medicine:0.5_Biology:0.5
2911067253,-:0.0
3017685667,Medicine:1.0
2910740700,Biology:0.33_Materials science:0.33_Chemistry:0.33
2778621076,Biology:1.0
2778471013,Physics:0.33_Philosophy:0.33_Art:0.33
2909327570,Medicine:0.67_Biology:0.33
2776417848,Biology:0.5_Medicine:0.25_Geology:0.25
2984111514,Engineering:0.67_Political science:0.33
2780783691,Biology:0.75_Chemistry:0.25
2910521586,Biology:0.56_Chemistry:0.44
2779703034,Computer science:0.5_Engineering:0.5
2909124190,Computer science:0.83_Mathematics:0.17
2992831150,Biology:1.0
2779680170,Chemistry:1.0
2909194544,Medicine:0.5_Biology:0.5
2910498647,Chemistry:0.5_Biology:0.25_Physics:0.12_Medicine:0.12
2776082078,Biology:1.0
2777139713,Biology:0.75_Medicine:0.25
2908542564,Biology:0.62_Chemistry:0.27_Physics:0.07_Medicine:0.04
2779909843,Computer science:1.0
2909707006,-:0.0
2909545390,Biology:0.64_Medicine:0.21_Chemistry:0.14
2909683769,Biology:0.67_Geology:0.33
2909271370,-:0.0
2911083097,Medicine:0.75_Biology:0.25
2909418446,Medicine:1.0
2908862600,Engineering:0.67_Political science:0.33
2910178465,Medicine:0.5_Biology:0.5
2776115623,Chemistry:0.67_Materials science:0.33
118210288,Physics:1.0
3020274161,Biology:0.6_Chemistry:0.2_Medicine:0.2
2909447842,-:0.0
2908730618,-:0.0
2779991623,Biology:0.67_Geology:0.33
2909548522,-:0.0
2909315436,-:0.0
2909047444,Medicine:0.5_Biology:0.5
2987889152,Mathematics:1.0
2780366145,Physics:0.83_Materials science:0.17
2777290944,Biology:1.0
2910318864,Medicine:0.5_Biology:0.5
2909302939,-:0.0
2910062239,-:0.0
2777241580,Computer science:1.0
2908548704,Medicine:0.5_Biology:0.5
2909814542,-:0.0
2776507923,-:0.0
2777924464,Biology:0.64_Chemistry:0.31_Physics:0.06
3018407292,Medicine:0.5_Biology:0.5
2909393153,-:0.0
87463083,Physics:0.5_Art:0.5
2781455918,Philosophy:0.5_Computer science:0.5
2910386181,Medicine:0.5_Biology:0.5
2908800142,Medicine:0.5_Biology:0.5
2909212720,-:0.0
2909320933,Biology:1.0
2910553314,Biology:0.56_Medicine:0.33_Chemistry:0.11
2777886181,Chemistry:0.55_Biology:0.36_Engineering:0.09
2777426309,Biology:0.83_Geology:0.17
188947578,Medicine:1.0
2910533225,-:0.0
2911178926,-:0.0
2910900965,Biology:0.5_Chemistry:0.5
2989455836,Engineering:0.5_Physics:0.33_Materials science:0.17
2909698684,Chemistry:0.75_Biology:0.25
63802530,Medicine:0.75_Biology:0.25
55350006,Mathematics:1.0
2776168746,Biology:1.0
2983331546,Medicine:0.5_Biology:0.5
2909131017,Engineering:0.33_Materials science:0.33_Chemistry:0.33
3018130395,Medicine:0.5_Biology:0.5
2911186515,-:0.0
2780278628,-:0.0
2778899755,-:0.0
3017392945,Medicine:0.5_Biology:0.5
2908988659,-:0.0
2909037843,-:0.0
2778286736,Biology:0.75_Chemistry:0.25
58663186,Mathematics:0.75_Computer science:0.25
2779099632,Biology:0.67_Geology:0.33
2909177454,-:0.0
48729370,Chemistry:0.5_Engineering:0.33_Physics:0.17
2776821451,Biology:0.5_Medicine:0.33_Psychology:0.17
3017594758,Medicine:0.5_Biology:0.5
2910863140,Biology:0.6_Medicine:0.4
520769784,Engineering:0.33_Psychology:0.33_Materials science:0.33
2910031754,Engineering:0.67_Political science:0.33
2993767896,Mathematics:1.0
2908773706,Engineering:0.67_Physics:0.33
2778606335,Biology:0.75_Geology:0.25
2780819817,Medicine:0.5_Biology:0.5
2908781774,-:0.0
2779531100,-:0.0
2909439820,Medicine:0.5_Biology:0.5
173409883,Materials science:0.58_Engineering:0.33_Chemistry:0.08
2909985224,-:0.0
2910455333,Medicine:0.5_Biology:0.5
2911003425,Biology:0.64_Chemistry:0.21_Medicine:0.14
2910246203,Medicine:0.5_Biology:0.5
3020061635,Medicine:0.5_Biology:0.5
203833370,Engineering:0.4_Computer science:0.2_History:0.2_Geography:0.2
2778918642,Biology:0.75_Geology:0.25
2780909026,Biology:0.67_Geology:0.33
2781326844,Biology:1.0
2909682313,Medicine:0.5_Biology:0.5
2909226221,Biology:0.86_Geology:0.14
2908558599,-:0.0
2778779315,-:0.0
2909046967,Medicine:0.5_Biology:0.5
2909479049,Biology:0.67_Chemistry:0.17_Medicine:0.17
2778736251,Biology:0.62_Medicine:0.24_Chemistry:0.14
2910413904,Medicine:0.5_Biology:0.5
2908603161,Biology:0.53_Medicine:0.47
